;Date	Time 	Flow (CMS)
8/1/2016	0:10	0.160556522
8/1/2016	0:25	0.160273354
8/1/2016	0:40	0.160273354
8/1/2016	0:55	0.160273354
8/1/2016	1:10	0.160273354
8/1/2016	1:25	0.160273354
8/1/2016	1:40	0.160273354
8/1/2016	1:55	0.160273354
8/1/2016	2:10	0.160273354
8/1/2016	2:25	0.160273354
8/1/2016	2:40	0.160273354
8/1/2016	2:55	0.160273354
8/1/2016	3:10	0.160273354
8/1/2016	3:25	0.160273354
8/1/2016	3:40	0.159990186
8/1/2016	3:55	0.159990186
8/1/2016	4:10	0.159990186
8/1/2016	4:25	0.159990186
8/1/2016	4:40	0.159990186
8/1/2016	4:55	0.159990186
8/1/2016	5:10	0.159990186
8/1/2016	5:25	0.159990186
8/1/2016	5:40	0.159990186
8/1/2016	5:55	0.159990186
8/1/2016	6:10	0.159990186
8/1/2016	6:25	0.159990186
8/1/2016	6:40	0.159990186
8/1/2016	6:55	0.160273354
8/1/2016	7:10	0.160273354
8/1/2016	7:25	0.160273354
8/1/2016	7:40	0.160273354
8/1/2016	7:55	0.159990186
8/1/2016	8:10	0.160273354
8/1/2016	8:25	0.160273354
8/1/2016	8:40	0.160273354
8/1/2016	8:55	0.159990186
8/1/2016	9:10	0.159990186
8/1/2016	9:25	0.159990186
8/1/2016	9:40	0.159990186
8/1/2016	9:55	0.160273354
8/1/2016	10:10	0.159990186
8/1/2016	10:25	0.160273354
8/1/2016	10:40	0.160273354
8/1/2016	10:55	0.160273354
8/1/2016	11:10	0.160273354
8/1/2016	11:25	0.160273354
8/1/2016	11:40	0.160273354
8/1/2016	11:55	0.159990186
8/1/2016	12:10	0.159990186
8/1/2016	12:25	0.159990186
8/1/2016	12:40	0.159707017
8/1/2016	12:55	0.159707017
8/1/2016	13:10	0.159707017
8/1/2016	13:25	0.159707017
8/1/2016	13:40	0.159707017
8/1/2016	13:55	0.159707017
8/1/2016	14:10	0.159707017
8/1/2016	14:25	0.159707017
8/1/2016	14:40	0.159423849
8/1/2016	14:55	0.159707017
8/1/2016	15:10	0.159423849
8/1/2016	15:25	0.159423849
8/1/2016	15:40	0.159423849
8/1/2016	15:55	0.159423849
8/1/2016	16:10	0.159423849
8/1/2016	16:25	0.159423849
8/1/2016	16:40	0.159423849
8/1/2016	16:55	0.159423849
8/1/2016	17:10	0.159423849
8/1/2016	17:25	0.15914068
8/1/2016	17:40	0.15914068
8/1/2016	17:55	0.15914068
8/1/2016	18:10	0.15914068
8/1/2016	18:25	0.15914068
8/1/2016	18:40	0.15914068
8/1/2016	18:55	0.158857512
8/1/2016	19:10	0.15914068
8/1/2016	19:25	0.158857512
8/1/2016	19:40	0.158857512
8/1/2016	19:55	0.158857512
8/1/2016	20:10	0.158857512
8/1/2016	20:25	0.158857512
8/1/2016	20:40	0.158574343
8/1/2016	20:55	0.158857512
8/1/2016	21:10	0.158857512
8/1/2016	21:25	0.158857512
8/1/2016	21:40	0.158857512
8/1/2016	21:55	0.158857512
8/1/2016	22:10	0.15914068
8/1/2016	22:25	0.158857512
8/1/2016	22:40	0.15914068
8/1/2016	22:55	0.15914068
8/1/2016	23:10	0.15914068
8/1/2016	23:25	0.15914068
8/1/2016	23:40	0.15914068
8/2/2016	0:10	0.15914068
8/2/2016	0:25	0.15914068
8/2/2016	0:40	0.15914068
8/2/2016	0:55	0.15914068
8/2/2016	1:10	0.15914068
8/2/2016	1:25	0.15914068
8/2/2016	1:40	0.15914068
8/2/2016	1:55	0.15914068
8/2/2016	2:10	0.15914068
8/2/2016	2:25	0.15914068
8/2/2016	2:40	0.15914068
8/2/2016	2:55	0.15914068
8/2/2016	3:10	0.15914068
8/2/2016	3:25	0.15914068
8/2/2016	3:40	0.15914068
8/2/2016	3:55	0.15914068
8/2/2016	4:10	0.15914068
8/2/2016	4:25	0.15914068
8/2/2016	4:40	0.15914068
8/2/2016	4:55	0.15914068
8/2/2016	5:10	0.158857512
8/2/2016	5:25	0.158857512
8/2/2016	5:40	0.158857512
8/2/2016	5:55	0.158857512
8/2/2016	6:10	0.158857512
8/2/2016	6:25	0.158857512
8/2/2016	6:40	0.158857512
8/2/2016	6:55	0.158857512
8/2/2016	7:10	0.15914068
8/2/2016	7:25	0.158857512
8/2/2016	7:40	0.158857512
8/2/2016	7:55	0.15914068
8/2/2016	8:10	0.158857512
8/2/2016	8:25	0.15914068
8/2/2016	8:40	0.158857512
8/2/2016	8:55	0.15914068
8/2/2016	9:10	0.15914068
8/2/2016	9:25	0.15914068
8/2/2016	9:40	0.15914068
8/2/2016	9:55	0.158857512
8/2/2016	10:10	0.158857512
8/2/2016	10:25	0.158857512
8/2/2016	10:40	0.158857512
8/2/2016	10:55	0.15914068
8/2/2016	11:10	0.15914068
8/2/2016	11:25	0.158857512
8/2/2016	11:40	0.158857512
8/2/2016	11:55	0.158857512
8/2/2016	12:10	0.15914068
8/2/2016	12:25	0.158857512
8/2/2016	12:40	0.158857512
8/2/2016	12:55	0.158857512
8/2/2016	13:10	0.158857512
8/2/2016	13:25	0.158857512
8/2/2016	13:40	0.158857512
8/2/2016	13:55	0.158857512
8/2/2016	14:10	0.158857512
8/2/2016	14:25	0.158574343
8/2/2016	14:40	0.158574343
8/2/2016	14:55	0.158574343
8/2/2016	15:10	0.158574343
8/2/2016	15:25	0.158291175
8/2/2016	15:40	0.158574343
8/2/2016	15:55	0.158574343
8/2/2016	16:10	0.158291175
8/2/2016	16:25	0.158291175
8/2/2016	16:40	0.158574343
8/2/2016	16:55	0.158291175
8/2/2016	17:10	0.158291175
8/2/2016	17:25	0.158291175
8/2/2016	17:40	0.158574343
8/2/2016	17:55	0.158291175
8/2/2016	18:10	0.158574343
8/2/2016	18:25	0.158291175
