;Date	Time	CMS/Length
8/1/2016	11:00	-0.000378953
8/1/2016	11:15	-7.58769E-05
8/1/2016	11:30	-8.04599E-05
8/1/2016	11:45	-7.62834E-05
8/1/2016	12:00	-7.71242E-05
8/1/2016	12:15	-8.48063E-05
8/1/2016	12:30	-8.11866E-05
8/1/2016	12:45	-8.41297E-05
8/1/2016	13:00	-8.56471E-05
8/1/2016	13:15	-8.85067E-05
8/1/2016	13:30	-9.18897E-05
8/1/2016	13:45	-8.96622E-05
8/1/2016	14:00	-9.7695E-05
8/1/2016	14:15	-9.65813E-05
8/1/2016	14:30	-0.000100404
8/1/2016	14:45	-0.00010362
8/1/2016	15:00	-0.00010736
8/1/2016	15:15	-0.000111622
8/1/2016	15:30	-0.000111622
8/1/2016	15:45	-0.000118631
8/1/2016	16:00	-0.000112781
8/1/2016	16:15	-0.000115289
8/1/2016	16:30	-0.000124645
8/1/2016	16:45	-0.000124645
8/1/2016	17:00	-0.000129272
8/1/2016	17:15	-0.000129272
8/1/2016	17:30	-0.000134415
8/1/2016	17:45	-0.000140073
8/1/2016	18:00	-0.000140073
8/1/2016	18:15	-0.00014514
8/1/2016	18:30	-0.000150723
8/1/2016	18:45	-0.000157664
8/1/2016	19:00	-0.000159892
8/1/2016	19:15	-0.000162119
8/1/2016	19:30	-0.000170411
8/1/2016	19:45	-0.000174588
8/1/2016	20:00	-0.000183681
8/1/2016	20:15	-0.00019302
8/1/2016	20:30	-0.000195376
8/1/2016	20:45	-0.000205828
8/1/2016	21:00	-0.000212789
8/1/2016	21:15	-0.000220307
8/1/2016	21:30	-0.000227546
8/1/2016	21:45	-0.000240184
8/1/2016	22:00	-0.00024798
8/1/2016	22:15	-0.00025177
8/1/2016	22:30	-0.000261902
8/1/2016	22:45	-0.000263464
8/1/2016	23:00	-0.000267641
8/1/2016	23:15	-0.000264984
8/1/2016	23:30	-0.000267641
8/1/2016	23:45	-0.000259973
8/2/2016	0:00	-0.000254961
8/2/2016	0:15	-0.000250784
8/2/2016	0:30	-0.000243266
8/2/2016	0:45	-0.000237698
8/2/2016	1:00	-0.000231572
8/2/2016	1:15	-0.00022656
8/2/2016	1:30	-0.000217188
8/2/2016	1:45	-0.000216353
8/2/2016	2:00	-0.000217188
8/2/2016	2:15	-0.000219694
8/2/2016	2:30	-0.000219755
8/2/2016	2:45	-0.000225324
8/2/2016	3:00	-0.000232007
8/2/2016	3:15	-0.000239524
8/2/2016	3:30	-0.000237859
8/2/2016	3:45	-0.00024482
8/2/2016	4:00	-0.000253173
8/2/2016	4:15	-0.000257016
8/2/2016	4:30	-0.000265647
8/2/2016	4:45	-0.000270291
8/2/2016	5:00	-0.000274059
8/2/2016	5:15	-0.000286997
8/2/2016	5:30	-0.000291043
8/2/2016	5:45	-0.000295325
8/2/2016	6:00	-0.000299574
8/2/2016	6:15	-0.000308763
8/2/2016	6:30	-0.000312143
8/2/2016	6:45	-0.000314925
8/2/2016	7:00	-0.000324391
8/2/2016	7:15	-0.000326296
8/2/2016	7:30	-0.000330943
8/2/2016	7:45	-0.000334721
8/2/2016	8:00	-0.000346694
8/2/2016	8:15	-0.00035449
8/2/2016	8:30	-0.000353855
8/2/2016	8:45	-0.000366031
8/2/2016	9:00	-0.000361693
8/2/2016	9:15	-0.000370561
8/2/2016	9:30	-0.000361693
8/2/2016	9:45	-0.000348885
8/2/2016	10:00	-0.000328003
8/2/2016	10:15	-0.000311296
8/2/2016	10:30	-0.000287073
8/2/2016	10:45	-0.000269253
8/2/2016	11:00	-0.000251711
8/2/2016	11:15	-0.000240017
8/2/2016	11:30	-0.000226931
8/2/2016	11:45	-0.000213287
8/2/2016	12:00	-0.000200758
8/2/2016	12:15	-0.000195426
8/2/2016	12:30	-0.000185681
8/2/2016	12:45	-0.000176492
8/2/2016	13:00	-0.000173911
8/2/2016	13:15	-0.00016695
8/2/2016	13:30	-0.000164876
8/2/2016	13:45	-0.000164439
8/2/2016	14:00	-0.000158313
8/2/2016	14:15	-0.000154137
8/2/2016	14:30	-0.000154501
8/2/2016	14:45	-0.000150882
8/2/2016	15:00	-0.000152318
8/2/2016	15:15	-0.000149534
8/2/2016	15:30	-0.000150651
8/2/2016	15:45	-0.000153674
8/2/2016	16:00	-0.00015089
8/2/2016	16:15	-0.000153602
8/2/2016	16:30	-0.000150539
8/2/2016	16:45	-0.000158639
8/2/2016	17:00	-0.000153349
8/2/2016	17:15	-0.000151121
8/2/2016	17:30	-0.000155108
8/2/2016	17:45	-0.000155108
8/2/2016	18:00	-0.000157948
8/2/2016	18:15	-0.000162417
8/2/2016	18:30	-0.000162417
8/2/2016	18:45	-0.000167966
8/2/2016	19:00	-0.000166853
8/2/2016	19:15	-0.000171246
8/2/2016	19:30	-0.000171246
8/2/2016	19:45	-0.000175607
8/2/2016	20:00	-0.000175607
8/2/2016	20:15	-0.000175607
8/2/2016	20:30	-0.000182161
8/2/2016	20:45	-0.000183275
8/2/2016	21:00	-0.000188674
8/2/2016	21:15	-0.000192293
8/2/2016	21:30	-0.000195356
8/2/2016	21:45	-0.000203784
8/2/2016	22:00	-0.000203988
8/2/2016	22:15	-0.000213808
8/2/2016	22:30	-0.00021429
8/2/2016	22:45	-0.000221807
8/2/2016	23:00	-0.000226541
8/2/2016	23:15	-0.000237753
8/2/2016	23:30	-0.000240184
8/2/2016	23:45	-0.000247145
8/3/2016	0:00	-0.000250099
8/3/2016	0:15	-0.000250784
8/3/2016	0:30	-0.000245371
8/3/2016	0:45	-0.000237302
8/3/2016	1:00	-0.000227412
8/3/2016	1:15	-0.000210197
8/3/2016	1:30	-0.000194318
8/3/2016	1:45	-0.000173986
8/3/2016	2:00	-0.000158951
8/3/2016	2:15	-0.000146062
8/3/2016	2:30	-0.000138931
8/3/2016	2:45	-0.000147025
8/3/2016	3:00	-0.000192867
8/3/2016	3:15	-0.000284979
8/3/2016	3:30	-0.000427156
8/3/2016	3:45	-0.000580521
8/3/2016	4:00	-0.000730369
8/3/2016	4:15	-0.000852881
8/3/2016	4:30	-0.000933357
8/3/2016	4:45	-0.000974802
8/3/2016	5:00	-0.000966449
8/3/2016	5:15	-0.000899271
8/3/2016	5:30	-0.000799034
8/3/2016	5:45	-0.000701582
8/3/2016	6:00	-0.00059593
8/3/2016	6:15	-0.000513513
8/3/2016	6:30	-0.000442637
8/3/2016	6:45	-0.000379989
8/3/2016	7:00	-0.000331338
8/3/2016	7:15	-0.000287067
8/3/2016	7:30	-0.00025314
8/3/2016	7:45	-0.000218892
8/3/2016	8:00	-0.000199343
8/3/2016	8:15	-0.00017317
8/3/2016	8:30	-0.000155259
8/3/2016	8:45	-0.00014176
8/3/2016	9:00	-0.00013184
8/3/2016	9:15	-0.000127735
8/3/2016	9:30	-0.000115763
8/3/2016	9:45	-0.000114841
8/3/2016	10:00	-0.000105374
8/3/2016	10:15	-0.000106505
8/3/2016	10:30	-0.000104358
8/3/2016	10:45	-0.000101899
8/3/2016	11:00	-0.000106045
8/3/2016	11:15	-0.000104575
8/3/2016	11:30	-0.000104177
8/3/2016	11:45	-0.000104302
8/3/2016	12:00	-0.000106048
8/3/2016	12:15	-0.000107204
8/3/2016	12:30	-0.000113009
8/3/2016	12:45	-0.000109946
8/3/2016	13:00	-0.000112098
8/3/2016	13:15	-0.000114479
8/3/2016	13:30	-0.000117662
8/3/2016	13:45	-0.000121924
8/3/2016	14:00	-0.000128654
8/3/2016	14:15	-0.000127819
8/3/2016	14:30	-0.000130843
8/3/2016	14:45	-0.000129172
8/3/2016	15:00	-0.000137904
8/3/2016	15:15	-0.000141376
8/3/2016	15:30	-0.000144249
8/3/2016	15:45	-0.00014876
8/3/2016	16:00	-0.000152394
8/3/2016	16:15	-0.000155158
8/3/2016	16:30	-0.000155158
8/3/2016	16:45	-0.000158438
8/3/2016	17:00	-0.000162242
8/3/2016	17:15	-0.000162242
8/3/2016	17:30	-0.000166569
8/3/2016	17:45	-0.000166569
8/3/2016	18:00	-0.000170297
8/3/2016	18:15	-0.000169183
8/3/2016	18:30	-0.000178759
8/3/2016	18:45	-0.000175106
8/3/2016	19:00	-0.000179315
8/3/2016	19:15	-0.000183729
8/3/2016	19:30	-0.000180986
8/3/2016	19:45	-0.000186791
8/3/2016	20:00	-0.000192302
8/3/2016	20:15	-0.000195643
8/3/2016	20:30	-0.000198984
8/3/2016	20:45	-0.000205861
8/3/2016	21:00	-0.000208451
8/3/2016	21:15	-0.000217277
8/3/2016	21:30	-0.000223681
8/3/2016	21:45	-0.000229807
8/3/2016	22:00	-0.000234819
8/3/2016	22:15	-0.000239636
8/3/2016	22:30	-0.0002422
8/3/2016	22:45	-0.000242208
8/3/2016	23:00	-0.000236306
8/3/2016	23:15	-0.000230912
8/3/2016	23:30	-0.000214858
8/3/2016	23:45	-0.000190492
8/4/2016	0:00	-0.000166468
8/4/2016	0:15	-0.000135312
8/4/2016	0:30	-0.000102676
8/4/2016	0:45	-7.18201E-05
8/4/2016	1:00	-4.8373E-05
8/4/2016	1:15	-2.72872E-05
8/4/2016	1:30	-1.59493E-05
8/4/2016	1:45	-2.06298E-05
8/4/2016	2:00	-8.55051E-05
8/4/2016	2:15	-0.000222144
8/4/2016	2:30	-0.000481543
8/4/2016	2:45	-0.000822759
8/4/2016	3:00	-0.001193078
8/4/2016	3:15	-0.001470475
8/4/2016	3:30	-0.001630895
8/4/2016	3:45	-0.001612477
8/4/2016	4:00	-0.001452697
8/4/2016	4:15	-0.001252223
8/4/2016	4:30	-0.00105175
8/4/2016	4:45	-0.000873552
8/4/2016	5:00	-0.000728765
8/4/2016	5:15	-0.000618463
8/4/2016	5:30	-0.000512304
8/4/2016	5:45	-0.00042864
8/4/2016	6:00	-0.000355793
8/4/2016	6:15	-0.000290918
8/4/2016	6:30	-0.00024281
8/4/2016	6:45	-0.000210492
8/4/2016	7:00	-0.000177843
8/4/2016	7:15	-0.000149877
8/4/2016	7:30	-0.000132792
8/4/2016	7:45	-0.000114437
8/4/2016	8:00	-0.000104603
8/4/2016	8:15	-9.0013E-05
8/4/2016	8:30	-8.03931E-05
8/4/2016	8:45	-7.74472E-05
8/4/2016	9:00	-7.6275E-05
8/4/2016	9:15	-6.43023E-05
8/4/2016	9:30	-6.5469E-05
8/4/2016	9:45	-6.75823E-05
8/4/2016	10:00	-6.48091E-05
8/4/2016	10:15	-6.72287E-05
8/4/2016	10:30	-6.08247E-05
8/4/2016	10:45	-6.55748E-05
8/4/2016	11:00	-7.04362E-05
8/4/2016	11:15	-7.01634E-05
8/4/2016	11:30	-7.09625E-05
8/4/2016	11:45	-7.25551E-05
8/4/2016	12:00	-7.89647E-05
8/4/2016	12:15	-7.98752E-05
8/4/2016	12:30	-8.27013E-05
8/4/2016	12:45	-8.90635E-05
8/4/2016	13:00	-9.17727E-05
8/4/2016	13:15	-9.49886E-05
8/4/2016	13:30	-9.76143E-05
8/4/2016	13:45	-0.000100763
8/4/2016	14:00	-0.000108607
8/4/2016	14:15	-0.000112188
8/4/2016	14:30	-0.000111074
8/4/2016	14:45	-0.000114621
8/4/2016	15:00	-0.000118135
8/4/2016	15:15	-0.000121607
8/4/2016	15:30	-0.000125037
8/4/2016	15:45	-0.000129548
8/4/2016	16:00	-0.000132346
8/4/2016	16:15	-0.000136782
8/4/2016	16:30	-0.000141175
8/4/2016	16:45	-0.000145536
8/4/2016	17:00	-0.000148192
8/4/2016	17:15	-0.000152477
8/4/2016	17:30	-0.000156729
8/4/2016	17:45	-0.000160939
8/4/2016	18:00	-0.000160939
8/4/2016	18:15	-0.000164238
8/4/2016	18:30	-0.000167521
8/4/2016	18:45	-0.000167521
8/4/2016	19:00	-0.000170779
8/4/2016	19:15	-0.000171336
8/4/2016	19:30	-0.000174577
8/4/2016	19:45	-0.00017569
8/4/2016	20:00	-0.000178915
8/4/2016	20:15	-0.000178915
8/4/2016	20:30	-0.000178358
