;Date	Time 	Flow (CMS)
8/1/2016	0:00:00	0.314883339
8/1/2016	0:15:00	0.314883339
8/1/2016	0:30:00	0.323095224
8/1/2016	0:45:00	0.323095224
8/1/2016	1:00:00	0.323095224
8/1/2016	1:15:00	0.323095224
8/1/2016	1:30:00	0.331590278
8/1/2016	1:45:00	0.340085332
8/1/2016	2:00:00	0.348580387
8/1/2016	2:15:00	0.365853663
8/1/2016	2:30:00	0.374631886
8/1/2016	2:45:00	0.383693277
8/1/2016	3:00:00	0.393037836
8/1/2016	3:15:00	0.402382396
8/1/2016	3:30:00	0.402382396
8/1/2016	3:45:00	0.411726955
8/1/2016	4:00:00	0.421637852
8/1/2016	4:15:00	0.421637852
8/1/2016	4:30:00	0.421637852
8/1/2016	4:45:00	0.421637852
8/1/2016	5:00:00	0.421637852
8/1/2016	5:15:00	0.43126558
8/1/2016	5:30:00	0.43126558
8/1/2016	5:45:00	0.421637852
8/1/2016	6:00:00	0.421637852
8/1/2016	6:15:00	0.421637852
8/1/2016	6:30:00	0.421637852
8/1/2016	6:45:00	0.421637852
8/1/2016	7:00:00	0.421637852
8/1/2016	7:15:00	0.412010124
8/1/2016	7:30:00	0.412010124
8/1/2016	7:45:00	0.412010124
8/1/2016	8:00:00	0.412010124
8/1/2016	8:15:00	0.402382396
8/1/2016	8:30:00	0.402382396
8/1/2016	8:45:00	0.412010124
8/1/2016	9:00:00	0.412010124
8/1/2016	9:15:00	0.412010124
8/1/2016	9:30:00	0.412010124
8/1/2016	9:45:00	0.412010124
8/1/2016	10:00:00	0.421637852
8/1/2016	10:15:00	0.421637852
8/1/2016	10:30:00	0.412010124
8/1/2016	10:45:00	0.421637852
8/1/2016	11:00:00	0.431548748
8/1/2016	11:15:00	0.431548748
8/1/2016	11:30:00	0.421637852
8/1/2016	11:45:00	0.421637852
8/1/2016	12:00:00	0.431548748
8/1/2016	12:15:00	0.441459645
8/1/2016	12:30:00	0.441459645
8/1/2016	12:45:00	0.441459645
8/1/2016	13:00:00	0.441459645
8/1/2016	13:15:00	0.441459645
8/1/2016	13:30:00	0.441459645
8/1/2016	13:45:00	0.45165371
8/1/2016	14:00:00	0.441459645
8/1/2016	14:15:00	0.441459645
8/1/2016	14:30:00	0.441459645
8/1/2016	14:45:00	0.441459645
8/1/2016	15:00:00	0.441459645
8/1/2016	15:15:00	0.441459645
8/1/2016	15:30:00	0.431548748
8/1/2016	15:45:00	0.431548748
8/1/2016	16:00:00	0.421637852
8/1/2016	16:15:00	0.421637852
8/1/2016	16:30:00	0.402382396
8/1/2016	16:45:00	0.402382396
8/1/2016	17:00:00	0.393037836
8/1/2016	17:15:00	0.393037836
8/1/2016	17:30:00	0.383976445
8/1/2016	17:45:00	0.383976445
8/1/2016	18:00:00	0.365853663
8/1/2016	18:15:00	0.357358609
8/1/2016	18:30:00	0.348580387
8/1/2016	18:45:00	0.348580387
8/1/2016	19:00:00	0.340368501
8/1/2016	19:15:00	0.340368501
8/1/2016	19:30:00	0.340368501
8/1/2016	19:45:00	0.331873447
8/1/2016	20:00:00	0.331873447
8/1/2016	20:15:00	0.323378393
8/1/2016	20:30:00	0.323378393
8/1/2016	20:45:00	0.314883339
8/1/2016	21:00:00	0.314883339
8/1/2016	21:15:00	0.314883339
8/1/2016	21:30:00	0.314883339
8/1/2016	21:45:00	0.298742736
8/1/2016	22:00:00	0.306671453
8/1/2016	22:15:00	0.306671453
8/1/2016	22:30:00	0.306671453
8/1/2016	22:45:00	0.306671453
8/1/2016	23:00:00	0.306671453
8/1/2016	23:15:00	0.306671453
8/1/2016	23:30:00	0.323378393
8/1/2016	23:45:00	0.331873447
8/2/2016	0:00:00	0.340368501
8/2/2016	0:15:00	0.348863555
8/2/2016	0:30:00	0.366136832
8/2/2016	0:45:00	0.393037836
8/2/2016	1:00:00	0.402382396
8/2/2016	1:15:00	0.402665564
8/2/2016	1:30:00	0.412010124
8/2/2016	1:45:00	0.412010124
8/2/2016	2:00:00	0.421637852
8/2/2016	2:15:00	0.421637852
8/2/2016	2:30:00	0.421637852
8/2/2016	2:45:00	0.421637852
8/2/2016	3:00:00	0.431548748
8/2/2016	3:15:00	0.431548748
8/2/2016	3:30:00	0.421637852
8/2/2016	3:45:00	0.421637852
8/2/2016	4:00:00	0.421637852
8/2/2016	4:15:00	0.412010124
8/2/2016	4:30:00	0.412010124
8/2/2016	4:45:00	0.412010124
8/2/2016	5:00:00	0.412010124
8/2/2016	5:15:00	0.412010124
8/2/2016	5:30:00	0.412010124
8/2/2016	5:45:00	0.412010124
8/2/2016	6:00:00	0.412010124
8/2/2016	6:15:00	0.412010124
8/2/2016	6:30:00	0.412010124
8/2/2016	6:45:00	0.412010124
8/2/2016	7:00:00	0.412010124
8/2/2016	7:15:00	0.402665564
8/2/2016	7:30:00	0.402665564
