;Date	Time 	Flow (CMS)
8/1/2016	0:00	6.088122105
8/1/2016	0:05	6.031488411
8/1/2016	0:10	5.94653787
8/1/2016	0:15	5.889904176
8/1/2016	0:20	5.804953635
8/1/2016	0:25	5.748319941
8/1/2016	0:30	5.748319941
8/1/2016	0:35	5.6633694
8/1/2016	0:40	5.606735706
8/1/2016	0:45	5.550102012
8/1/2016	0:50	5.550102012
8/1/2016	0:55	5.465151471
8/1/2016	1:00	5.465151471
8/1/2016	1:05	5.408517777
8/1/2016	1:10	5.408517777
8/1/2016	1:15	5.323567236
8/1/2016	1:20	5.323567236
8/1/2016	1:25	5.266933542
8/1/2016	1:30	5.266933542
8/1/2016	1:35	5.210299848
8/1/2016	1:40	5.210299848
8/1/2016	1:45	5.125349307
8/1/2016	1:50	5.125349307
8/1/2016	1:55	5.068715613
8/1/2016	2:00	5.068715613
8/1/2016	2:05	5.012081919
8/1/2016	2:10	5.012081919
8/1/2016	2:15	5.012081919
8/1/2016	2:20	4.955448225
8/1/2016	2:25	4.955448225
8/1/2016	2:30	4.955448225
8/1/2016	2:35	4.870497684
8/1/2016	2:40	4.870497684
8/1/2016	2:45	4.870497684
8/1/2016	2:50	4.81386399
8/1/2016	2:55	4.81386399
8/1/2016	3:00	4.81386399
8/1/2016	3:05	4.81386399
8/1/2016	3:10	4.757230296
8/1/2016	3:15	4.757230296
8/1/2016	3:20	4.757230296
8/1/2016	3:25	4.757230296
8/1/2016	3:30	4.700596602
8/1/2016	3:35	4.700596602
8/1/2016	3:40	4.700596602
8/1/2016	3:45	4.700596602
8/1/2016	3:50	4.643962908
8/1/2016	3:55	4.643962908
8/1/2016	4:00	4.643962908
8/1/2016	4:05	4.643962908
8/1/2016	4:10	4.643962908
8/1/2016	4:15	4.643962908
8/1/2016	4:20	4.643962908
8/1/2016	4:25	4.643962908
8/1/2016	4:30	4.559012367
8/1/2016	4:35	4.559012367
8/1/2016	4:40	4.559012367
8/1/2016	4:45	4.559012367
8/1/2016	4:50	4.559012367
8/1/2016	4:55	4.445744979
8/1/2016	5:00	4.445744979
8/1/2016	5:05	4.445744979
8/1/2016	5:10	4.445744979
8/1/2016	5:15	4.445744979
8/1/2016	5:20	4.445744979
8/1/2016	5:25	4.445744979
8/1/2016	5:30	4.445744979
8/1/2016	5:35	4.445744979
8/1/2016	5:40	4.445744979
8/1/2016	5:45	4.445744979
8/1/2016	5:50	4.445744979
8/1/2016	5:55	4.445744979
8/1/2016	6:00	4.445744979
8/1/2016	6:05	4.445744979
8/1/2016	6:10	4.445744979
8/1/2016	6:15	4.445744979
8/1/2016	6:20	4.445744979
8/1/2016	6:25	4.502378673
8/1/2016	6:30	4.502378673
8/1/2016	6:35	4.502378673
8/1/2016	6:40	4.502378673
8/1/2016	6:45	4.502378673
8/1/2016	6:50	4.502378673
8/1/2016	6:55	4.502378673
8/1/2016	7:00	4.502378673
8/1/2016	7:05	4.502378673
8/1/2016	7:10	4.559012367
8/1/2016	7:15	4.559012367
8/1/2016	7:20	4.559012367
8/1/2016	7:25	4.559012367
8/1/2016	7:30	4.643962908
8/1/2016	7:35	4.643962908
8/1/2016	7:40	4.643962908
8/1/2016	7:45	4.700596602
8/1/2016	7:50	4.700596602
8/1/2016	7:55	4.757230296
8/1/2016	8:00	4.757230296
8/1/2016	8:05	4.81386399
8/1/2016	8:10	4.81386399
8/1/2016	8:15	4.870497684
8/1/2016	8:20	4.955448225
8/1/2016	8:25	4.955448225
8/1/2016	8:30	5.012081919
8/1/2016	8:35	5.068715613
8/1/2016	8:40	5.125349307
8/1/2016	8:45	5.210299848
8/1/2016	8:50	5.210299848
8/1/2016	8:55	5.266933542
8/1/2016	9:00	5.323567236
8/1/2016	9:05	5.408517777
8/1/2016	9:10	5.465151471
8/1/2016	9:15	5.606735706
8/1/2016	9:20	5.606735706
8/1/2016	9:25	5.6633694
8/1/2016	9:30	5.804953635
8/1/2016	9:35	5.804953635
8/1/2016	9:40	5.889904176
8/1/2016	9:45	5.94653787
8/1/2016	9:50	6.088122105
8/1/2016	9:55	6.173072646
8/1/2016	10:00	6.258023187
8/1/2016	10:05	6.314656881
8/1/2016	10:10	6.399607422
8/1/2016	10:15	6.541191657
8/1/2016	10:20	6.541191657
8/1/2016	10:25	6.626142198
8/1/2016	10:30	6.767726433
8/1/2016	10:35	6.852676974
8/1/2016	10:40	6.937627515
8/1/2016	10:45	7.022578056
8/1/2016	10:50	7.07921175
8/1/2016	10:55	7.249112832
8/1/2016	11:00	7.249112832
8/1/2016	11:05	7.419013914
8/1/2016	11:10	7.503964455
8/1/2016	11:15	7.503964455
8/1/2016	11:20	7.588914996
8/1/2016	11:25	7.673865537
8/1/2016	11:30	7.730499231
8/1/2016	11:35	7.815449772
8/1/2016	11:40	7.815449772
8/1/2016	11:45	7.900400313
8/1/2016	11:50	7.900400313
8/1/2016	11:55	7.985350854
8/1/2016	12:00	7.985350854
8/1/2016	12:05	7.985350854
8/1/2016	12:10	7.985350854
8/1/2016	12:15	7.985350854
8/1/2016	12:20	7.900400313
8/1/2016	12:25	7.900400313
8/1/2016	12:30	7.900400313
8/1/2016	12:35	7.815449772
8/1/2016	12:40	7.730499231
8/1/2016	12:45	7.673865537
8/1/2016	12:50	7.673865537
8/1/2016	12:55	7.588914996
8/1/2016	13:00	7.588914996
8/1/2016	13:05	7.503964455
8/1/2016	13:10	7.419013914
8/1/2016	13:15	7.334063373
8/1/2016	13:20	7.249112832
8/1/2016	13:25	7.164162291
8/1/2016	13:30	7.07921175
8/1/2016	13:35	7.07921175
8/1/2016	13:40	7.022578056
8/1/2016	13:45	6.937627515
8/1/2016	13:50	6.852676974
8/1/2016	13:55	6.767726433
8/1/2016	14:00	6.711092739
8/1/2016	14:05	6.711092739
8/1/2016	14:10	6.626142198
8/1/2016	14:15	6.541191657
8/1/2016	14:20	6.541191657
8/1/2016	14:25	6.456241116
8/1/2016	14:30	6.456241116
8/1/2016	14:35	6.456241116
8/1/2016	14:40	6.541191657
8/1/2016	14:45	6.456241116
8/1/2016	14:50	6.541191657
8/1/2016	14:55	6.541191657
8/1/2016	15:00	6.541191657
8/1/2016	15:05	6.626142198
8/1/2016	15:10	6.626142198
8/1/2016	15:15	6.711092739
8/1/2016	15:20	6.767726433
8/1/2016	15:25	6.767726433
8/1/2016	15:30	6.852676974
8/1/2016	15:35	6.937627515
8/1/2016	15:40	7.022578056
8/1/2016	15:45	7.07921175
8/1/2016	15:50	7.164162291
8/1/2016	15:55	7.249112832
8/1/2016	16:00	7.334063373
8/1/2016	16:05	7.419013914
8/1/2016	16:10	7.503964455
8/1/2016	16:15	7.588914996
8/1/2016	16:20	7.673865537
8/1/2016	16:25	7.730499231
8/1/2016	16:30	7.815449772
8/1/2016	16:35	7.900400313
8/1/2016	16:40	7.985350854
8/1/2016	16:45	8.098618242
8/1/2016	16:50	8.183568783
8/1/2016	16:55	8.268519324
8/1/2016	17:00	8.353469865
8/1/2016	17:05	8.438420406
8/1/2016	17:10	8.608321488
8/1/2016	17:15	8.693272029
8/1/2016	17:20	8.693272029
8/1/2016	17:25	8.891489958
8/1/2016	17:30	8.976440499
8/1/2016	17:35	9.06139104
8/1/2016	17:40	9.174658428
8/1/2016	17:45	9.259608969
8/1/2016	17:50	9.34455951
8/1/2016	17:55	9.457826898
8/1/2016	18:00	9.542777439
8/1/2016	18:05	9.62772798
8/1/2016	18:10	9.740995368
8/1/2016	18:15	9.825945909
8/1/2016	18:20	9.939213297
8/1/2016	18:25	10.02416384
8/1/2016	18:30	10.13743123
8/1/2016	18:35	10.22238177
8/1/2016	18:40	10.33564916
8/1/2016	18:45	10.4205997
8/1/2016	18:50	10.53386708
8/1/2016	18:55	10.64713447
8/1/2016	19:00	10.73208501
8/1/2016	19:05	10.8453524
8/1/2016	19:10	10.95861979
8/1/2016	19:15	11.04357033
8/1/2016	19:20	11.15683772
8/1/2016	19:25	11.15683772
8/1/2016	19:30	11.27010511
8/1/2016	19:35	11.38337249
8/1/2016	19:40	11.46832304
8/1/2016	19:45	11.58159042
8/1/2016	19:50	11.69485781
8/1/2016	19:55	11.8081252
8/1/2016	20:00	11.8081252
8/1/2016	20:05	11.92139259
8/1/2016	20:10	12.03465998
8/1/2016	20:15	12.14792736
8/1/2016	20:20	12.2328779
8/1/2016	20:25	12.34614529
8/1/2016	20:30	12.45941268
8/1/2016	20:35	12.45941268
8/1/2016	20:40	12.68594746
8/1/2016	20:45	12.82753169
8/1/2016	20:50	12.94079908
8/1/2016	20:55	13.05406647
8/1/2016	21:00	13.16733386
8/1/2016	21:05	13.16733386
8/1/2016	21:10	13.28060124
8/1/2016	21:15	13.39386863
8/1/2016	21:20	13.50713602
8/1/2016	21:25	13.64872025
8/1/2016	21:30	13.64872025
8/1/2016	21:35	13.76198764
8/1/2016	21:40	13.87525503
8/1/2016	21:45	13.87525503
8/1/2016	21:50	13.98852242
8/1/2016	21:55	13.98852242
8/1/2016	22:00	14.13010665
8/1/2016	22:05	14.13010665
8/1/2016	22:10	13.98852242
8/1/2016	22:15	13.98852242
8/1/2016	22:20	13.98852242
8/1/2016	22:25	13.87525503
8/1/2016	22:30	13.64872025
8/1/2016	22:35	13.50713602
8/1/2016	22:40	13.39386863
8/1/2016	22:45	13.16733386
8/1/2016	22:50	12.94079908
8/1/2016	22:55	12.82753169
8/1/2016	23:00	12.45941268
8/1/2016	23:05	12.2328779
8/1/2016	23:10	12.03465998
8/1/2016	23:15	11.8081252
8/1/2016	23:20	11.58159042
8/1/2016	23:25	11.38337249
8/1/2016	23:30	11.15683772
8/1/2016	23:35	10.95861979
8/1/2016	23:40	10.8453524
8/1/2016	23:45	10.53386708
8/1/2016	23:50	10.4205997
8/1/2016	23:55	10.22238177
8/2/2016	0:00	10.02416384
8/2/2016	0:05	9.825945909
8/2/2016	0:10	9.62772798
8/2/2016	0:15	9.542777439
8/2/2016	0:20	9.34455951
8/2/2016	0:25	9.259608969
8/2/2016	0:30	9.06139104
8/2/2016	0:35	8.891489958
8/2/2016	0:40	8.806539417
8/2/2016	0:45	8.608321488
8/2/2016	0:50	8.523370947
8/2/2016	0:55	8.353469865
8/2/2016	1:00	8.268519324
8/2/2016	1:05	8.183568783
8/2/2016	1:10	7.985350854
8/2/2016	1:15	7.900400313
8/2/2016	1:20	7.815449772
8/2/2016	1:25	7.730499231
8/2/2016	1:30	7.588914996
8/2/2016	1:35	7.503964455
8/2/2016	1:40	7.419013914
8/2/2016	1:45	7.334063373
8/2/2016	1:50	7.249112832
8/2/2016	1:55	7.164162291
8/2/2016	2:00	7.07921175
8/2/2016	2:05	7.022578056
8/2/2016	2:10	6.937627515
8/2/2016	2:15	6.852676974
8/2/2016	2:20	6.767726433
8/2/2016	2:25	6.711092739
8/2/2016	2:30	6.626142198
8/2/2016	2:35	6.626142198
8/2/2016	2:40	6.541191657
8/2/2016	2:45	6.456241116
8/2/2016	2:50	6.399607422
8/2/2016	2:55	6.314656881
8/2/2016	3:00	6.314656881
8/2/2016	3:05	6.258023187
8/2/2016	3:10	6.173072646
8/2/2016	3:15	6.173072646
8/2/2016	3:20	6.088122105
8/2/2016	3:25	6.031488411
8/2/2016	3:30	6.031488411
8/2/2016	3:35	5.94653787
8/2/2016	3:40	5.94653787
8/2/2016	3:45	5.889904176
8/2/2016	3:50	5.889904176
8/2/2016	3:55	5.804953635
8/2/2016	4:00	5.804953635
8/2/2016	4:05	5.748319941
8/2/2016	4:10	5.748319941
8/2/2016	4:15	5.6633694
8/2/2016	4:20	5.6633694
8/2/2016	4:25	5.606735706
8/2/2016	4:30	5.606735706
8/2/2016	4:35	5.606735706
8/2/2016	4:40	5.550102012
8/2/2016	4:45	5.550102012
8/2/2016	4:50	5.465151471
8/2/2016	4:55	5.465151471
8/2/2016	5:00	5.465151471
8/2/2016	5:05	5.408517777
8/2/2016	5:10	5.408517777
8/2/2016	5:15	5.323567236
8/2/2016	5:20	5.323567236
8/2/2016	5:25	5.323567236
8/2/2016	5:30	5.323567236
8/2/2016	5:35	5.266933542
8/2/2016	5:40	5.266933542
8/2/2016	5:45	5.125349307
8/2/2016	5:50	5.125349307
8/2/2016	5:55	5.068715613
8/2/2016	6:00	5.068715613
8/2/2016	6:05	5.012081919
8/2/2016	6:10	5.012081919
8/2/2016	6:15	5.012081919
8/2/2016	6:20	5.012081919
8/2/2016	6:25	5.012081919
8/2/2016	6:30	5.012081919
8/2/2016	6:35	5.012081919
8/2/2016	6:40	5.012081919
8/2/2016	6:45	4.955448225
8/2/2016	6:50	4.955448225
8/2/2016	6:55	4.955448225
8/2/2016	7:00	4.955448225
8/2/2016	7:05	4.955448225
8/2/2016	7:10	4.955448225
8/2/2016	7:15	4.955448225
8/2/2016	7:20	4.955448225
