;Date	Time 	Flow (CMS)
8/1/2016	0:00	1.163822412
8/1/2016	0:05	1.163822412
8/1/2016	0:10	1.186475889
8/1/2016	0:15	1.206297682
8/1/2016	0:20	1.144000619
8/1/2016	0:25	1.144000619
8/1/2016	0:30	1.144000619
8/1/2016	0:35	1.206297682
8/1/2016	0:40	1.206297682
8/1/2016	0:45	1.206297682
8/1/2016	0:50	1.121347141
8/1/2016	0:55	1.186475889
8/1/2016	1:00	1.186475889
8/1/2016	1:05	1.163822412
8/1/2016	1:10	1.163822412
8/1/2016	1:15	1.144000619
8/1/2016	1:20	1.186475889
8/1/2016	1:25	1.206297682
8/1/2016	1:30	1.186475889
8/1/2016	1:35	1.163822412
8/1/2016	1:40	1.144000619
8/1/2016	1:45	1.186475889
8/1/2016	1:50	1.186475889
8/1/2016	1:55	1.144000619
8/1/2016	2:00	1.144000619
8/1/2016	2:05	1.206297682
8/1/2016	2:10	1.22895116
8/1/2016	2:15	1.22895116
8/1/2016	2:20	1.251604637
8/1/2016	2:25	1.144000619
8/1/2016	2:30	1.144000619
8/1/2016	2:35	1.163822412
8/1/2016	2:40	1.144000619
8/1/2016	2:45	1.144000619
8/1/2016	2:50	1.144000619
8/1/2016	2:55	1.144000619
8/1/2016	3:00	1.163822412
8/1/2016	3:05	1.163822412
8/1/2016	3:10	1.144000619
8/1/2016	3:15	1.144000619
8/1/2016	3:20	1.121347141
8/1/2016	3:25	1.163822412
8/1/2016	3:30	1.163822412
8/1/2016	3:35	1.121347141
8/1/2016	3:40	1.144000619
8/1/2016	3:45	1.144000619
8/1/2016	3:50	1.144000619
8/1/2016	3:55	1.163822412
8/1/2016	4:00	1.22895116
8/1/2016	4:05	1.186475889
8/1/2016	4:10	1.163822412
8/1/2016	4:15	1.186475889
8/1/2016	4:20	1.251604637
8/1/2016	4:25	1.186475889
8/1/2016	4:30	1.251604637
8/1/2016	4:35	1.186475889
8/1/2016	4:40	1.22895116
8/1/2016	4:45	1.22895116
8/1/2016	4:50	1.22895116
8/1/2016	4:55	1.206297682
8/1/2016	5:00	1.22895116
8/1/2016	5:05	1.206297682
8/1/2016	5:10	1.251604637
8/1/2016	5:15	1.251604637
8/1/2016	5:20	1.274258115
8/1/2016	5:25	1.101525348
8/1/2016	5:30	1.206297682
8/1/2016	5:35	1.144000619
8/1/2016	5:40	1.121347141
8/1/2016	5:45	1.144000619
8/1/2016	5:50	1.121347141
8/1/2016	5:55	1.144000619
8/1/2016	6:00	1.101525348
8/1/2016	6:05	1.144000619
8/1/2016	6:10	1.144000619
8/1/2016	6:15	1.101525348
8/1/2016	6:20	1.121347141
8/1/2016	6:25	1.186475889
8/1/2016	6:30	1.121347141
8/1/2016	6:35	1.121347141
8/1/2016	6:40	1.144000619
8/1/2016	6:45	1.144000619
8/1/2016	6:50	1.163822412
8/1/2016	6:55	1.144000619
8/1/2016	7:00	1.186475889
8/1/2016	7:05	1.121347141
8/1/2016	7:10	1.206297682
8/1/2016	7:15	1.163822412
8/1/2016	7:20	1.163822412
8/1/2016	7:25	1.144000619
8/1/2016	7:30	1.163822412
8/1/2016	7:35	1.206297682
8/1/2016	7:40	1.101525348
8/1/2016	7:45	1.101525348
8/1/2016	7:50	1.121347141
8/1/2016	7:55	1.121347141
8/1/2016	8:00	1.121347141
8/1/2016	8:05	1.144000619
8/1/2016	8:10	1.081703555
8/1/2016	8:15	1.144000619
8/1/2016	8:20	1.163822412
8/1/2016	8:25	1.121347141
8/1/2016	8:30	1.121347141
8/1/2016	8:35	1.121347141
8/1/2016	8:40	1.081703555
8/1/2016	8:45	1.101525348
8/1/2016	8:50	1.081703555
8/1/2016	8:55	1.121347141
8/1/2016	9:00	1.101525348
8/1/2016	9:05	1.101525348
8/1/2016	9:10	1.081703555
8/1/2016	9:15	1.081703555
8/1/2016	9:20	1.061881763
8/1/2016	9:25	1.081703555
8/1/2016	9:30	1.061881763
8/1/2016	9:35	1.081703555
8/1/2016	9:40	1.04205997
8/1/2016	9:45	1.061881763
8/1/2016	9:50	1.081703555
8/1/2016	9:55	1.101525348
8/1/2016	10:00	1.061881763
8/1/2016	10:05	1.163822412
8/1/2016	10:10	1.144000619
8/1/2016	10:15	1.144000619
8/1/2016	10:20	1.121347141
8/1/2016	10:25	1.163822412
8/1/2016	10:30	1.144000619
8/1/2016	10:35	1.163822412
8/1/2016	10:40	1.121347141
8/1/2016	10:45	1.101525348
8/1/2016	10:50	1.163822412
8/1/2016	10:55	1.144000619
8/1/2016	11:00	1.144000619
8/1/2016	11:05	1.144000619
8/1/2016	11:10	1.121347141
8/1/2016	11:15	1.144000619
8/1/2016	11:20	1.121347141
8/1/2016	11:25	1.163822412
8/1/2016	11:30	1.101525348
8/1/2016	11:35	1.121347141
8/1/2016	11:40	1.144000619
8/1/2016	11:45	1.005248069
8/1/2016	11:50	1.101525348
8/1/2016	11:55	1.081703555
8/1/2016	12:00	1.101525348
8/1/2016	12:05	1.061881763
8/1/2016	12:10	1.121347141
8/1/2016	12:15	1.121347141
8/1/2016	12:20	1.121347141
8/1/2016	12:25	1.101525348
8/1/2016	12:30	1.144000619
8/1/2016	12:35	1.101525348
8/1/2016	12:40	1.101525348
8/1/2016	12:45	1.144000619
8/1/2016	12:50	1.081703555
8/1/2016	12:55	1.061881763
8/1/2016	13:00	1.101525348
8/1/2016	13:05	1.121347141
8/1/2016	13:10	1.144000619
8/1/2016	13:15	1.121347141
8/1/2016	13:20	1.163822412
8/1/2016	13:25	1.121347141
8/1/2016	13:30	1.121347141
8/1/2016	13:35	1.121347141
8/1/2016	13:40	1.081703555
8/1/2016	13:45	1.101525348
8/1/2016	13:50	1.081703555
8/1/2016	13:55	1.081703555
8/1/2016	14:00	1.101525348
8/1/2016	14:05	1.081703555
8/1/2016	14:10	1.144000619
8/1/2016	14:15	1.061881763
8/1/2016	14:20	1.061881763
8/1/2016	14:25	1.101525348
8/1/2016	14:30	1.121347141
8/1/2016	14:35	1.061881763
8/1/2016	14:40	1.121347141
8/1/2016	14:45	1.081703555
8/1/2016	14:50	1.121347141
8/1/2016	14:55	1.144000619
8/1/2016	15:00	1.121347141
8/1/2016	15:05	1.061881763
8/1/2016	15:10	1.081703555
8/1/2016	15:15	1.081703555
8/1/2016	15:20	1.081703555
8/1/2016	15:25	1.081703555
8/1/2016	15:30	1.061881763
8/1/2016	15:35	1.121347141
8/1/2016	15:40	1.101525348
8/1/2016	15:45	1.081703555
8/1/2016	15:50	1.101525348
8/1/2016	15:55	1.101525348
8/1/2016	16:00	1.121347141
8/1/2016	16:05	1.081703555
8/1/2016	16:10	1.101525348
8/1/2016	16:15	1.101525348
8/1/2016	16:20	1.081703555
8/1/2016	16:25	1.121347141
8/1/2016	16:30	1.121347141
8/1/2016	16:35	1.121347141
8/1/2016	16:40	1.081703555
8/1/2016	16:45	1.101525348
8/1/2016	16:50	1.005248069
8/1/2016	16:55	1.121347141
8/1/2016	17:00	1.121347141
8/1/2016	17:05	1.081703555
8/1/2016	17:10	1.121347141
8/1/2016	17:15	1.101525348
8/1/2016	17:20	1.081703555
8/1/2016	17:25	1.101525348
8/1/2016	17:30	1.081703555
8/1/2016	17:35	1.061881763
8/1/2016	17:40	1.081703555
8/1/2016	17:45	1.121347141
8/1/2016	17:50	1.081703555
8/1/2016	17:55	1.101525348
8/1/2016	18:00	1.121347141
8/1/2016	18:05	1.061881763
8/1/2016	18:10	1.101525348
8/1/2016	18:15	1.061881763
8/1/2016	18:20	1.061881763
8/1/2016	18:25	1.061881763
8/1/2016	18:30	1.101525348
8/1/2016	18:35	1.081703555
8/1/2016	18:40	1.101525348
8/1/2016	18:45	1.101525348
8/1/2016	18:50	1.061881763
8/1/2016	18:55	1.081703555
8/1/2016	19:00	1.081703555
8/1/2016	19:05	1.081703555
8/1/2016	19:10	1.081703555
8/1/2016	19:15	1.081703555
8/1/2016	19:20	1.081703555
8/1/2016	19:25	1.061881763
8/1/2016	19:30	1.081703555
8/1/2016	19:35	1.061881763
8/1/2016	19:40	1.081703555
8/1/2016	19:45	1.081703555
8/1/2016	19:50	1.081703555
8/1/2016	19:55	1.081703555
