;Date	Time	CMS
8/1/2016	0:00	1.478210228
8/1/2016	0:05	1.487070508
8/1/2016	0:10	1.495930787
8/1/2016	0:15	1.504791066
8/1/2016	0:20	1.513651346
8/1/2016	0:25	1.522511625
8/1/2016	0:30	1.531371905
8/1/2016	0:35	1.540232184
8/1/2016	0:40	1.549092463
8/1/2016	0:45	1.557952743
8/1/2016	0:50	1.566813022
8/1/2016	0:55	1.575673302
8/1/2016	1:00	1.584533581
8/1/2016	1:05	1.593393861
8/1/2016	1:10	1.60225414
8/1/2016	1:15	1.611114419
8/1/2016	1:20	1.619974699
8/1/2016	1:25	1.628834978
8/1/2016	1:30	1.637695258
8/1/2016	1:35	1.646555537
8/1/2016	1:40	1.655415817
8/1/2016	1:45	1.664276096
8/1/2016	1:50	1.673136375
8/1/2016	1:55	1.681996655
8/1/2016	2:00	1.690856934
8/1/2016	2:05	1.699717214
8/1/2016	2:10	1.708577493
8/1/2016	2:15	1.717437773
8/1/2016	2:20	1.726298052
8/1/2016	2:25	1.735158331
8/1/2016	2:30	1.744018611
8/1/2016	2:35	1.75287889
8/1/2016	2:40	1.76173917
8/1/2016	2:45	1.770599449
8/1/2016	2:50	1.779459728
8/1/2016	2:55	1.788320008
8/1/2016	3:00	1.797180287
8/1/2016	3:05	1.806040567
8/1/2016	3:10	1.814900846
8/1/2016	3:15	1.823761126
8/1/2016	3:20	1.832621405
8/1/2016	3:25	1.841481684
8/1/2016	3:30	1.850341964
8/1/2016	3:35	1.859202243
8/1/2016	3:40	1.868062523
8/1/2016	3:45	1.876922802
8/1/2016	3:50	1.885783082
8/1/2016	3:55	1.894643361
8/1/2016	4:00	1.90350364
8/1/2016	4:05	1.91236392
8/1/2016	4:10	1.921224199
8/1/2016	4:15	1.930084479
8/1/2016	4:20	1.938944758
8/1/2016	4:25	1.947805037
8/1/2016	4:30	1.956665317
8/1/2016	4:35	1.965525596
8/1/2016	4:40	1.974385876
8/1/2016	4:45	1.983246155
8/1/2016	4:50	1.992106435
8/1/2016	4:55	2.000966714
8/1/2016	5:00	2.009826993
8/1/2016	5:05	2.018687273
8/1/2016	5:10	2.027547552
8/1/2016	5:15	2.036407832
8/1/2016	5:20	2.045268111
8/1/2016	5:25	2.054128391
8/1/2016	5:30	2.06298867
8/1/2016	5:35	2.071848949
8/1/2016	5:40	2.080709229
8/1/2016	5:45	2.089569508
8/1/2016	5:50	2.098429788
8/1/2016	5:55	2.107290067
8/1/2016	6:00	2.116150347
8/1/2016	6:05	2.125010626
8/1/2016	6:10	2.133870905
8/1/2016	6:15	2.142731185
8/1/2016	6:20	2.151591464
8/1/2016	6:25	2.160451744
8/1/2016	6:30	2.169312023
8/1/2016	6:35	2.178172302
8/1/2016	6:40	2.187032582
8/1/2016	6:45	2.195892861
8/1/2016	6:50	2.204753141
8/1/2016	6:55	2.21361342
8/1/2016	7:00	2.2224737
8/1/2016	7:05	2.231333979
8/1/2016	7:10	2.240194258
8/1/2016	7:15	2.249054538
8/1/2016	7:20	2.257914817
8/1/2016	7:25	2.266775097
8/1/2016	7:30	2.275635376
8/1/2016	7:35	2.284495656
8/1/2016	7:40	2.293355935
8/1/2016	7:45	2.302216214
8/1/2016	7:50	2.311076494
8/1/2016	7:55	2.319936773
8/1/2016	8:00	2.328797053
8/1/2016	8:05	2.337657332
8/1/2016	8:10	2.346517612
8/1/2016	8:15	2.355377891
8/1/2016	8:20	2.36423817
8/1/2016	8:25	2.37309845
8/1/2016	8:30	2.381958729
8/1/2016	8:35	2.390819009
8/1/2016	8:40	2.399679288
8/1/2016	8:45	2.408539567
8/1/2016	8:50	2.417399847
8/1/2016	8:55	2.426260126
8/1/2016	9:00	2.435120406
8/1/2016	9:05	2.443980685
8/1/2016	9:10	2.452840965
8/1/2016	9:15	2.461701244
8/1/2016	9:20	2.470561523
8/1/2016	9:25	2.479421803
8/1/2016	9:30	2.488282082
8/1/2016	9:35	2.497142362
8/1/2016	9:40	2.506002641
8/1/2016	9:45	2.514862921
8/1/2016	9:50	2.5237232
8/1/2016	9:55	2.532583479
8/1/2016	10:00	2.541443759
8/1/2016	10:05	2.550304038
8/1/2016	10:10	2.559164318
8/1/2016	10:15	2.568024597
8/1/2016	10:20	2.576884877
8/1/2016	10:25	2.585745156
8/1/2016	10:30	2.594605435
8/1/2016	10:35	2.603465715
8/1/2016	10:40	2.612325994
8/1/2016	10:45	2.621186274
8/1/2016	10:50	2.630046553
8/1/2016	10:55	2.638906832
8/1/2016	11:00	2.647767112
8/1/2016	11:05	2.656627391
8/1/2016	11:10	2.665487671
8/1/2016	11:15	2.67434795
8/1/2016	11:20	2.68320823
8/1/2016	11:25	2.692068509
8/1/2016	11:30	2.700928788
8/1/2016	11:35	2.709789068
