;DateTime,Heat [Watts/m]
08/04/2016 14:35:25,82598.1882558157
08/04/2016 14:50:25,81411.8656762209
08/04/2016 15:05:25,68120.802368455
08/04/2016 15:20:25,76764.0477134511
08/04/2016 15:35:25,55786.9176984483
08/04/2016 15:50:25,68708.0775873792
08/04/2016 16:05:25,60141.4962653817
08/04/2016 16:20:25,65276.6968312098
08/04/2016 16:35:25,65325.3294537862
08/04/2016 16:50:25,64784.150660913
08/04/2016 17:05:25,59483.1765652435
08/04/2016 17:20:25,50189.3638126381
08/04/2016 17:35:25,60146.8209415545
08/04/2016 17:50:25,60657.4337951925
08/04/2016 18:05:25,64930.4669974428
08/04/2016 18:20:25,64242.3936371968
08/04/2016 18:35:25,60685.393913977
08/04/2016 18:50:25,51030.9253953521
08/04/2016 19:05:25,63716.6888653073
08/04/2016 19:20:25,64071.5850128356
08/04/2016 19:35:25,55395.6857360976
08/04/2016 19:50:25,60108.560729728
08/04/2016 20:05:25,68820.824106008
08/04/2016 20:20:25,82589.498319651
08/04/2016 20:35:25,63829.8905296257
08/04/2016 20:50:25,76503.7561825053
08/04/2016 21:05:25,75356.5279549481
08/04/2016 21:20:25,64072.1266703966
08/04/2016 21:35:25,70360.7290959709
08/04/2016 21:50:25,64543.7377966834
08/04/2016 22:05:25,75509.0035222897
08/04/2016 22:20:25,76014.4591287181
08/04/2016 22:35:25,68430.9830680559
08/04/2016 22:50:25,68379.1894985538
08/04/2016 23:05:25,75788.6090616298
08/04/2016 23:20:25,68161.5475949333
08/04/2016 23:35:25,74956.9292067643
08/04/2016 23:50:25,62888.1772098597
08/05/2016 00:05:25,68968.3154498826
08/05/2016 00:20:25,67815.8134172052
08/05/2016 00:35:25,62607.2073731281
08/05/2016 00:50:25,67589.5190831655
08/05/2016 01:05:25,67122.9446055037
08/05/2016 01:20:25,73668.0383597136
08/05/2016 01:35:25,67117.6288395357
08/05/2016 01:50:25,62853.2564598743
08/05/2016 02:05:25,61601.377877955
08/05/2016 02:20:25,73643.2348363595
08/05/2016 02:35:25,67119.3710953784
08/05/2016 02:50:25,73027.9881018773
08/05/2016 03:05:25,73896.994980036
08/05/2016 03:20:25,77678.3356303226
08/05/2016 03:35:25,66151.3386886006
08/05/2016 03:50:25,72068.7295529597
08/05/2016 04:05:25,60340.552828861
08/05/2016 04:20:25,64618.6496175643
08/05/2016 04:35:25,65470.1648314069
08/05/2016 04:50:25,70049.1545709746
08/05/2016 05:05:25,55715.0022965269
08/05/2016 05:20:25,59659.0771643844
08/05/2016 05:35:25,60067.8869921015
08/05/2016 05:50:25,59378.8441808612
08/05/2016 06:05:25,63295.7631277131
08/05/2016 06:20:25,54784.87358978
08/05/2016 06:35:25,54984.0120028141
08/05/2016 06:50:25,58451.3490612494
08/05/2016 07:05:25,70008.8883198032
08/05/2016 07:20:25,62663.2870619186
08/05/2016 07:35:25,58604.4835693117
08/05/2016 07:50:25,63315.9801749943
08/05/2016 08:05:25,55009.7247814772
08/05/2016 08:20:25,58540.6251681992
08/05/2016 08:35:25,62842.9651734299
08/05/2016 08:50:25,62520.5630919939
08/05/2016 09:05:25,54172.9315051763
08/05/2016 09:20:25,54439.6564111394
08/05/2016 09:35:25,57945.5809760139
08/05/2016 09:50:25,54431.8296251547
08/05/2016 10:05:25,57431.504953739
08/05/2016 10:20:25,57284.6271707053
08/05/2016 10:35:25,58248.1861366816
08/05/2016 10:50:25,54745.3968241891
08/05/2016 11:05:25,58436.5729372303
08/05/2016 11:20:25,59064.9844991768
08/05/2016 11:35:25,54966.4830399666
08/05/2016 11:50:25,50215.7960385282
08/05/2016 12:05:25,58722.0558962563
08/05/2016 12:20:25,59035.8856355086
08/05/2016 12:35:25,54800.1761411266
08/05/2016 12:50:25,50450.9834821214
08/05/2016 13:05:25,47727.524914089
08/05/2016 13:20:25,55990.1696214562
08/05/2016 13:35:25,56739.2511533768
08/05/2016 13:50:25,47777.8956482269
08/05/2016 14:05:25,48870.1608635797
08/05/2016 14:20:25,48754.1141501747
08/05/2016 14:35:25,52035.3899714915
08/05/2016 14:50:25,49356.9227569118
08/05/2016 15:05:25,43286.9763405827
08/05/2016 15:20:25,46747.2613864152
08/05/2016 15:35:25,44396.9469615579
08/05/2016 15:50:25,53086.3003365924
08/05/2016 16:05:25,50609.9953062627
08/05/2016 16:20:25,53349.7212143193
08/05/2016 16:35:25,58996.8280639673
08/05/2016 16:50:25,49635.0832889827
08/05/2016 17:05:25,46616.2888368306
08/05/2016 17:20:25,50591.290610821
08/05/2016 17:35:25,54179.7478117824
08/05/2016 17:50:25,50578.3620073885
