;DateTime,Heat [Watts/m]
08/03/2016 19:15:36,446965.904663003
08/03/2016 19:30:36,446135.892662157
08/03/2016 19:45:36,445909.304223533
08/03/2016 20:00:36,445606.256139364
08/03/2016 20:15:36,445386.922995573
08/03/2016 20:30:36,444924.816524685
08/03/2016 20:45:36,444419.736384403
08/03/2016 21:00:36,443553.459018232
08/03/2016 21:15:36,442523.065780033
08/03/2016 21:30:36,441877.383407566
08/03/2016 21:45:36,441120.280435882
08/03/2016 22:00:36,440573.205293723
08/03/2016 22:15:36,439685.489222301
08/03/2016 22:30:36,439698.307428074
08/03/2016 22:45:36,439651.038384953
08/03/2016 23:00:36,439128.854485067
08/03/2016 23:15:36,438420.374944645
08/03/2016 23:30:36,437721.905319238
08/03/2016 23:45:36,436940.019735383
08/04/2016 00:00:36,436075.830405858
08/04/2016 00:15:36,435132.673969002
08/04/2016 00:30:36,433566.678375732
08/04/2016 00:45:36,431788.806248004
08/04/2016 01:00:36,430053.754312279
08/04/2016 01:15:36,428390.440100819
08/04/2016 01:30:36,426548.87820455
08/04/2016 01:45:36,424501.451410132
08/04/2016 02:00:36,423019.965251888
08/04/2016 02:15:36,421316.318484388
08/04/2016 02:30:36,420320.224174139
08/04/2016 02:45:36,418632.441281534
08/04/2016 03:00:36,417475.183884661
08/04/2016 03:15:36,416239.515486847
08/04/2016 03:30:36,415049.447812984
08/04/2016 03:45:36,413986.728502352
08/04/2016 04:00:36,412786.094807086
08/04/2016 04:15:36,411806.791454903
08/04/2016 04:30:36,411009.334892137
08/04/2016 04:45:36,410093.427668374
08/04/2016 05:00:36,409216.447891888
08/04/2016 05:15:36,408317.779966204
08/04/2016 05:30:36,407535.338275959
08/04/2016 05:45:36,406665.031776148
08/04/2016 06:00:36,405927.634703465
08/04/2016 06:15:36,405183.564354106
08/04/2016 06:30:36,404589.642729954
08/04/2016 06:45:36,403758.819783808
08/04/2016 07:00:36,403008.632264163
08/04/2016 07:15:36,402273.459617039
08/04/2016 07:30:36,401587.780438593
08/04/2016 07:45:36,401411.838927647
08/04/2016 08:00:36,401755.93983526
08/04/2016 08:15:36,401449.533187411
08/04/2016 08:30:36,401486.301985153
08/04/2016 08:45:36,401716.942625534
08/04/2016 09:00:36,401451.2044964
08/04/2016 09:15:36,400810.536050898
08/04/2016 09:30:36,399944.24089198
08/04/2016 09:45:36,401613.321468261
08/04/2016 10:00:36,401636.719794097
08/04/2016 10:15:36,403521.956332861
08/04/2016 10:30:36,404195.562647552
08/04/2016 10:45:36,403322.832374319
08/04/2016 11:00:36,404420.717939548
08/04/2016 11:15:36,404714.43587402
08/04/2016 11:30:36,406976.451354355
08/04/2016 11:45:36,408797.143674087
08/04/2016 12:00:36,410291.957649481
08/04/2016 12:15:36,412572.014363874
08/04/2016 12:30:36,414821.329171555
08/04/2016 12:45:36,416224.445947141
08/04/2016 13:00:36,418700.435752037
08/04/2016 13:15:36,421637.94247532
08/04/2016 13:30:36,424736.821120782
08/04/2016 13:45:36,423965.269335743
08/04/2016 14:00:36,430102.930381742
08/04/2016 14:15:36,432776.437030932
08/04/2016 14:30:36,431859.868273108
08/04/2016 14:45:36,438468.450242371
08/04/2016 15:00:36,438284.708904124
08/04/2016 15:15:36,441177.941094279
08/04/2016 15:30:36,439931.164521162
08/04/2016 15:45:36,439489.297133717
08/04/2016 16:00:36,441070.804906118
08/04/2016 16:15:36,441987.846268001
08/04/2016 16:30:36,442862.651994062
08/04/2016 16:45:36,441209.846452628
08/04/2016 17:00:36,444473.018950741
08/04/2016 17:15:36,444507.373967701
08/04/2016 17:30:36,442544.705095514
08/04/2016 17:45:36,444565.555851264
08/04/2016 18:00:36,443845.762834615
08/04/2016 18:15:36,442170.124588004
08/04/2016 18:30:36,441197.101849562
08/04/2016 18:45:36,440818.642549815
08/04/2016 19:00:36,440673.464897496
08/04/2016 19:15:36,440697.291764098
08/04/2016 19:30:36,440623.040598408
08/04/2016 19:45:36,440424.668081118
08/04/2016 20:00:36,440110.485909878
08/04/2016 20:15:36,439576.87492063
08/04/2016 20:30:36,439195.090941822
08/04/2016 20:45:36,438631.557841027
08/04/2016 21:00:36,438170.535677939
08/04/2016 21:15:36,437322.579339757
08/04/2016 21:30:36,436288.394598756
