;DateTime,Heat [Watts/m]
08/04/2016 23:02:06,681953.831454979
08/04/2016 23:17:06,696088.217703674
08/04/2016 23:32:06,695162.674936194
08/04/2016 23:47:06,694531.117641709
08/05/2016 00:02:06,696310.38524288
08/05/2016 00:17:06,711413.796259992
08/05/2016 00:32:06,715697.022127493
08/05/2016 00:47:06,750136.656700157
08/05/2016 01:02:06,768911.569803424
08/05/2016 01:17:06,784661.101389339
08/05/2016 01:32:06,785270.837847231
08/05/2016 01:47:06,799283.275758365
08/05/2016 02:02:06,799263.532709742
08/05/2016 02:17:06,813229.555278828
08/05/2016 02:32:06,810123.23978798
08/05/2016 02:47:06,806417.422475065
08/05/2016 03:02:06,803567.121997199
08/05/2016 03:17:06,803614.976905026
08/05/2016 03:32:06,817572.823694839
08/05/2016 03:47:06,815011.622395868
08/05/2016 04:02:06,812830.121374795
08/05/2016 04:17:06,810737.126030008
08/05/2016 04:32:06,806320.916934738
08/05/2016 04:47:06,785232.752156257
08/05/2016 05:02:06,766955.638703682
08/05/2016 05:17:06,765409.536585405
08/05/2016 05:32:06,763734.375791486
08/05/2016 05:47:06,759112.537004168
08/05/2016 06:02:06,741397.520608621
08/05/2016 06:17:06,739825.498872067
08/05/2016 06:32:06,738015.491921037
08/05/2016 06:47:06,736616.504210358
08/05/2016 07:02:06,735206.353014139
08/05/2016 07:17:06,733897.180618945
08/05/2016 07:32:06,732898.556094239
08/05/2016 07:47:06,732506.311806842
08/05/2016 08:02:06,732336.322367931
08/05/2016 08:17:06,732060.787247547
08/05/2016 08:32:06,731895.872120245
08/05/2016 08:47:06,732130.812747755
08/05/2016 09:02:06,731403.663894145
08/05/2016 09:17:06,730501.782823233
08/05/2016 09:32:06,733347.746277457
08/05/2016 09:47:06,748241.089939809
08/05/2016 10:02:06,751289.580753967
08/05/2016 10:17:06,755916.701579824
08/05/2016 10:32:06,775168.123317563
08/05/2016 10:47:06,779294.794353529
08/05/2016 11:02:06,796063.212700431
08/05/2016 11:17:06,800176.541322434
08/05/2016 11:32:06,806984.553569058
08/05/2016 11:47:06,829912.461067156
08/05/2016 12:02:06,845478.340383783
08/05/2016 12:17:06,854586.640666975
08/05/2016 12:32:06,875393.413428401
08/05/2016 12:47:06,897214.097290048
08/05/2016 13:02:06,899560.072569782
08/05/2016 13:17:06,905905.989811605
08/05/2016 13:32:06,914181.234237607
08/05/2016 13:47:06,916192.327859009
08/05/2016 14:02:06,920143.570693046
08/05/2016 14:17:06,928981.560598759
08/05/2016 14:32:06,931641.374703716
08/05/2016 14:47:06,948334.353597057
08/05/2016 15:02:06,945368.516576317
08/05/2016 15:17:06,959112.434071231
08/05/2016 15:32:06,985244.589363805
08/05/2016 15:47:06,1021937.83818688
08/05/2016 16:02:06,1047886.70425252
08/05/2016 16:17:06,1043489.42998992
08/05/2016 16:32:06,993558.329125549
08/05/2016 16:47:06,961171.353866198
08/05/2016 17:02:06,931875.581051537
08/05/2016 17:17:06,876641.870708364
08/05/2016 17:32:06,876594.302278709
08/05/2016 17:47:06,870687.285985723
08/05/2016 18:02:06,830442.962296225
08/05/2016 18:17:06,811079.664107066
08/05/2016 18:32:06,806890.063221997
08/05/2016 18:47:06,788068.987887147
08/05/2016 19:02:06,785433.177523667
08/05/2016 19:17:06,764767.687990508
08/05/2016 19:32:06,744924.360588736
08/05/2016 19:47:06,730631.322711318
08/05/2016 20:02:06,744719.066363147
08/05/2016 20:17:06,724469.390646473
08/05/2016 20:32:06,710565.196697138
08/05/2016 20:47:06,723149.68720477
08/05/2016 21:02:06,703831.707329527
08/05/2016 21:17:06,689135.717995503
08/05/2016 21:32:06,705047.019448103
08/05/2016 21:47:06,699234.555854836
08/05/2016 22:02:06,666033.481519309
08/05/2016 22:17:06,665175.051925663
08/05/2016 22:32:06,664411.862925127
08/05/2016 22:47:06,663503.284523605
08/05/2016 23:02:06,666641.679777869
08/05/2016 23:17:06,681752.492115009
08/05/2016 23:32:06,680691.85811932
08/05/2016 23:47:06,679528.149035443
08/06/2016 00:02:06,676085.24209394
08/06/2016 00:17:06,660052.194195683
08/06/2016 00:32:06,656319.236991961
08/06/2016 00:47:06,642019.680266576
08/06/2016 01:02:06,656177.49480215
08/06/2016 01:17:06,653815.552297589
08/06/2016 01:32:06,653714.265165139
08/06/2016 01:47:06,665776.719622983
08/06/2016 02:02:06,662969.872368569
08/06/2016 02:17:06,660491.739365983
08/06/2016 02:32:06,658103.255704805
08/06/2016 02:47:06,655868.518498699
