;DateTime,Heat [Watts/m]
08/04/2016 14:08:45,7268179.13614151
08/04/2016 14:23:45,7705626.18506704
08/04/2016 14:38:45,8283686.64031378
08/04/2016 14:53:45,8930121.33712854
08/04/2016 15:08:45,9723787.46129568
08/04/2016 15:23:45,10900541.7273595
08/04/2016 15:38:45,13338410.6281966
08/04/2016 15:53:45,18018518.5777439
08/04/2016 16:08:45,24720530.8294949
08/04/2016 16:23:45,32857027.7303378
08/04/2016 16:38:45,40501474.1765806
08/04/2016 16:53:45,46707579.5520361
08/04/2016 17:08:45,51672068.9267744
08/04/2016 17:23:45,54037142.7461627
08/04/2016 17:38:45,52519332.4919974
08/04/2016 17:53:45,48185957.5794449
08/04/2016 18:08:45,43239468.8598963
08/04/2016 18:23:45,38633171.543007
08/04/2016 18:38:45,34147923.0468925
08/04/2016 18:53:45,30149030.9361882
08/04/2016 19:08:45,26985169.305382
08/04/2016 19:23:45,24270275.5816335
08/04/2016 19:38:45,21856378.5265024
08/04/2016 19:53:45,19793326.8209831
08/04/2016 20:08:45,18004073.7651806
08/04/2016 20:23:45,16484935.022541
08/04/2016 20:38:45,15201811.7963699
08/04/2016 20:53:45,14095527.4799221
08/04/2016 21:08:45,13055173.6691007
08/04/2016 21:23:45,12245337.5329892
08/04/2016 21:38:45,11484055.4472942
08/04/2016 21:53:45,10801627.2563366
08/04/2016 22:08:45,10239989.5364252
08/04/2016 22:23:45,9726376.41817829
08/04/2016 22:38:45,9240027.4293396
08/04/2016 22:53:45,8801025.36076107
08/04/2016 23:08:45,8471404.38931437
08/04/2016 23:23:45,8065411.79524296
08/04/2016 23:38:45,7798366.2407535
08/04/2016 23:53:45,7501134.51860311
08/05/2016 00:08:45,7044207.76316724
08/05/2016 00:23:45,6780242.21718098
08/05/2016 00:38:45,6568297.70079281
08/05/2016 00:53:45,6411893.98864591
08/05/2016 01:08:45,6226857.6200946
08/05/2016 01:23:45,6093263.05688969
08/05/2016 01:38:45,5955234.90502334
08/05/2016 01:53:45,5871814.54560644
08/05/2016 02:08:45,5739508.42725687
08/05/2016 02:23:45,5660369.44558302
08/05/2016 02:38:45,5634079.19179877
08/05/2016 02:53:45,5521920.86247714
08/05/2016 03:08:45,5445127.57447033
08/05/2016 03:23:45,5442075.1284848
08/05/2016 03:38:45,5365182.01205582
08/05/2016 03:53:45,5356742.67082791
08/05/2016 04:08:45,5298484.28462163
08/05/2016 04:23:45,5275836.12272307
08/05/2016 04:38:45,5318995.1858225
08/05/2016 04:53:45,5331252.41569053
08/05/2016 05:08:45,5265123.76511349
08/05/2016 05:23:45,5267589.30773792
08/05/2016 05:38:45,5254751.48234864
08/05/2016 05:53:45,5185521.56859061
08/05/2016 06:08:45,5188458.82793518
08/05/2016 06:23:45,5187535.68928402
08/05/2016 06:38:45,5188374.90623961
08/05/2016 06:53:45,5188374.90623961
08/05/2016 07:08:45,5187200.00250179
08/05/2016 07:23:45,5189298.04489077
08/05/2016 07:38:45,5196683.15409996
08/05/2016 07:53:45,5132479.76595044
08/05/2016 08:08:45,5119529.77071318
08/05/2016 08:23:45,5196931.90239366
08/05/2016 08:38:45,5234447.91710151
08/05/2016 08:53:45,5382002.82693726
08/05/2016 09:08:45,5490739.83876837
08/05/2016 09:23:45,5674019.33679108
08/05/2016 09:38:45,5818768.35490375
08/05/2016 09:53:45,6105413.32773398
08/05/2016 10:08:45,6314698.95249323
08/05/2016 10:23:45,6659621.78355715
08/05/2016 10:38:45,6985770.28915966
08/05/2016 10:53:45,7370215.30226153
08/05/2016 11:08:45,7703338.63322829
08/05/2016 11:23:45,8127291.430038
08/05/2016 11:38:45,8469335.5549665
08/05/2016 11:53:45,8904249.73193342
08/05/2016 12:08:45,9227716.58283274
08/05/2016 12:23:45,9603809.60457609
08/05/2016 12:38:45,9887701.8909412
08/05/2016 12:53:45,10088578.0681484
08/05/2016 13:08:45,10149225.4801391
08/05/2016 13:23:45,10277885.1185404
08/05/2016 13:38:45,10324305.3348486
08/05/2016 13:53:45,10477877.1011513
08/05/2016 14:08:45,10861442.0334654
08/05/2016 14:23:45,11332887.7907408
08/05/2016 14:38:45,12275258.771376
08/05/2016 14:53:45,14449899.1819275
08/05/2016 15:08:45,19047407.7577459
08/05/2016 15:23:45,26709291.8184619
08/05/2016 15:38:45,38066495.229357
08/05/2016 15:53:45,50036350.0616183
08/05/2016 16:08:45,63070840.1850994
08/05/2016 16:23:45,71708627.4263497
08/05/2016 16:38:45,77492800.0221478
08/05/2016 16:53:45,77300483.5836337
08/05/2016 17:08:45,71631648.4684478
08/05/2016 17:23:45,64026830.340505
08/05/2016 17:38:45,55663450.5884981
08/05/2016 17:53:45,48402581.1417414
08/05/2016 18:08:45,42640302.2353434
08/05/2016 18:23:45,37695478.2370105
08/05/2016 18:38:45,33119328.0110768
08/05/2016 18:53:45,29167388.4415749
08/05/2016 19:08:45,25872500.635739
08/05/2016 19:23:45,23044406.6847272
08/05/2016 19:38:45,20699582.4035268
08/05/2016 19:53:45,18732079.38571
08/05/2016 20:08:45,17051103.9715772
08/05/2016 20:23:45,15641134.8718155
08/05/2016 20:38:45,14362516.1289716
08/05/2016 20:53:45,13300802.8756819
08/05/2016 21:08:45,12378177.3494419
08/05/2016 21:23:45,11598246.135194
08/05/2016 21:38:45,10884754.9868347
08/05/2016 21:53:45,10188913.1744099
08/05/2016 22:08:45,9640038.27144423
08/05/2016 22:23:45,9087650.03880218
08/05/2016 22:38:45,8647977.00804005
08/05/2016 22:53:45,8241610.33163941
08/05/2016 23:08:45,7851580.82335511
08/05/2016 23:23:45,7463217.40755619
08/05/2016 23:38:45,7172787.31942773
08/05/2016 23:53:45,6908273.53988125
08/06/2016 00:08:45,6619348.42006776
08/06/2016 00:23:45,6438942.00597535
08/06/2016 00:38:45,6204761.53131095
08/06/2016 00:53:45,6024505.40835961
08/06/2016 01:08:45,5859931.39806763
08/06/2016 01:23:45,5711439.36263147
08/06/2016 01:38:45,5580028.68328845
08/06/2016 01:53:45,5447924.9643223
08/06/2016 02:08:45,5352437.98150276
08/06/2016 02:23:45,5221272.21089874
08/06/2016 02:38:45,5122771.72614849
08/06/2016 02:53:45,5060844.37117362
08/06/2016 03:08:45,4964807.50927044
08/06/2016 03:23:45,4907622.82711028
08/06/2016 03:38:45,4830298.30928551
08/06/2016 03:53:45,4803640.00675799
08/06/2016 04:08:45,4743967.56740693
08/06/2016 04:23:45,4721169.66287513
08/06/2016 04:38:45,4647377.80962713
08/06/2016 04:53:45,4640840.14499074
08/06/2016 05:08:45,4567240.8179855
08/06/2016 05:23:45,4564649.11856382
08/06/2016 05:38:45,4558947.37983614
08/06/2016 05:53:45,4556948.0688537
08/06/2016 06:08:45,4486300.810904
08/06/2016 06:23:45,4489656.58171073
08/06/2016 06:38:45,4491334.4671141
08/06/2016 06:53:45,4489145.9209358
08/06/2016 07:08:45,4480975.3485368
08/06/2016 07:23:45,4486884.42321822
08/06/2016 07:38:45,4492720.54636036
08/06/2016 07:53:45,4494471.383303
08/06/2016 08:08:45,4507237.90267644
08/06/2016 08:23:45,4518107.68202868
08/06/2016 08:38:45,4529852.87985224
08/06/2016 08:53:45,4595327.43486096
08/06/2016 09:08:45,4624184.15670744
08/06/2016 09:23:45,4650397.34514381
08/06/2016 09:38:45,4682534.41797258
08/06/2016 09:53:45,4715634.12201512
08/06/2016 10:08:45,4740144.19368867
08/06/2016 10:23:45,4760803.74050717
08/06/2016 10:38:45,4794125.59021442
08/06/2016 10:53:45,4905202.26212661
08/06/2016 11:08:45,4941196.99041203
08/06/2016 11:23:45,5046115.5650952
08/06/2016 11:38:45,5166362.73915152
08/06/2016 11:53:45,5437005.27075897
08/06/2016 12:08:45,5881554.94736942
08/06/2016 12:23:45,6584565.61979763
08/06/2016 12:38:45,8497311.92177133
08/06/2016 12:53:45,13006231.55432
08/06/2016 13:08:45,21877562.9943069
08/06/2016 13:23:45,35523479.441154
08/06/2016 13:38:45,51252309.6093305
08/06/2016 13:53:45,66958356.4071429
08/06/2016 14:08:45,79407757.3591202
08/06/2016 14:23:45,90000959.8737118
08/06/2016 14:38:45,97254816.6480652
08/06/2016 14:53:45,100545480.948532
08/06/2016 15:08:45,97584986.8129608
08/06/2016 15:23:45,88881961.4235696
08/06/2016 15:38:45,78994205.7788626
08/06/2016 15:53:45,69470873.2407729
08/06/2016 16:08:45,60568284.2533737
08/06/2016 16:23:45,52456391.2203282
08/06/2016 16:38:45,46166997.6758389
08/06/2016 16:53:45,40879519.4747614
08/06/2016 17:08:45,36262963.2761629
08/06/2016 17:23:45,31906889.1930928
08/06/2016 17:38:45,28413523.1472409
08/06/2016 17:53:45,25440987.8948783
08/06/2016 18:08:45,22973706.7673439
08/06/2016 18:23:45,20866427.9191461
08/06/2016 18:38:45,19146745.2654211
08/06/2016 18:53:45,17602202.1133218
08/06/2016 19:08:45,16195526.3920196
08/06/2016 19:23:45,15134356.9816086
08/06/2016 19:38:45,14130752.7852896
08/06/2016 19:53:45,13274025.9571533
08/06/2016 20:08:45,12488813.9809603
08/06/2016 20:23:45,11836805.4848655
08/06/2016 20:38:45,11176544.5515804
08/06/2016 20:53:45,10617040.6641928
08/06/2016 21:08:45,10081040.199513
08/06/2016 21:23:45,9654771.60271211
08/06/2016 21:38:45,9304719.26369758
08/06/2016 21:53:45,8995732.19632907
08/06/2016 22:08:45,8680321.2796956
08/06/2016 22:23:45,8346090.78570606
08/06/2016 22:38:45,8154089.73918507
08/06/2016 22:53:45,7958556.98797598
08/06/2016 23:08:45,7734406.11581954
08/06/2016 23:23:45,7610611.74172936
08/06/2016 23:38:45,7414001.8583003
08/06/2016 23:53:45,7243449.66134231
08/07/2016 00:08:45,7126738.99141747
08/07/2016 00:23:45,7035722.89579076
08/07/2016 00:38:45,6909930.85624159
08/07/2016 00:53:45,6821248.66136392
08/07/2016 01:08:45,6722775.73913132
08/07/2016 01:23:45,6678223.05480319
08/07/2016 01:38:45,6593609.14238278
08/07/2016 01:53:45,6528088.51271768
08/07/2016 02:08:45,6498488.01427526
