;DateTime,Heat [Watts/m]
08/04/2016 20:48:46,1398728.75891646
08/04/2016 21:03:46,1356748.65123335
08/04/2016 21:18:46,1434463.54372676
08/04/2016 21:33:46,1406670.73249391
08/04/2016 21:48:46,1398402.5711293
08/04/2016 22:03:46,1309852.39169663
08/04/2016 22:18:46,1312359.718414
08/04/2016 22:33:46,1250918.52338685
08/04/2016 22:48:46,1232291.4072508
08/04/2016 23:03:46,1231209.06009132
08/04/2016 23:18:46,1252213.02076322
08/04/2016 23:33:46,1268455.58307924
08/04/2016 23:48:46,1249442.59076365
08/05/2016 00:03:46,1247831.58202903
08/05/2016 00:18:46,1263635.70853513
08/05/2016 00:33:46,1273292.60146777
08/05/2016 00:48:46,1300664.34089079
08/05/2016 01:03:46,1274595.17517778
08/05/2016 01:18:46,1307289.80090022
08/05/2016 01:33:46,1250980.95644146
08/05/2016 01:48:46,1228583.94425354
08/05/2016 02:03:46,1206776.36080283
08/05/2016 02:18:46,1283159.04455266
08/05/2016 02:33:46,1249441.40379909
08/05/2016 02:48:46,1203447.1080073
08/05/2016 03:03:46,1233595.10966373
08/05/2016 03:18:46,1240987.46830903
08/05/2016 03:33:46,1253870.98354596
08/05/2016 03:48:46,1232999.85900317
08/05/2016 04:03:46,1218289.20717023
08/05/2016 04:18:46,1226613.88703614
08/05/2016 04:33:46,1207066.02457256
08/05/2016 04:48:46,1221022.4410997
08/05/2016 05:03:46,1235024.13247637
08/05/2016 05:18:46,1221235.56476732
08/05/2016 05:33:46,1223965.05399789
08/05/2016 05:48:46,1215463.91663736
08/05/2016 06:03:46,1179824.7689354
08/05/2016 06:18:46,1166074.37171204
08/05/2016 06:33:46,1163598.82691683
08/05/2016 06:48:46,1139406.08023806
08/05/2016 07:03:46,1164589.66702617
08/05/2016 07:18:46,1157157.63718389
08/05/2016 07:33:46,1133823.98467253
08/05/2016 07:48:46,1155128.73888291
08/05/2016 08:03:46,1132980.29820198
08/05/2016 08:18:46,1154408.36840066
08/05/2016 08:33:46,1143190.20088168
08/05/2016 08:48:46,1154447.66780243
08/05/2016 09:03:46,1136773.15472614
08/05/2016 09:18:46,1130046.49887775
08/05/2016 09:33:46,1151305.84956485
08/05/2016 09:48:46,1162162.65499792
08/05/2016 10:03:46,1172038.97394165
08/05/2016 10:18:46,1169999.16898945
08/05/2016 10:33:46,1141266.08092164
08/05/2016 10:48:46,1165211.61390493
08/05/2016 11:03:46,1172115.71169355
08/05/2016 11:18:46,1172680.27849505
08/05/2016 11:33:46,1200920.02155049
08/05/2016 11:48:46,1181840.68452752
08/05/2016 12:03:46,1163881.7212963
08/05/2016 12:18:46,1182669.72210496
08/05/2016 12:33:46,1189314.86170341
08/05/2016 12:48:46,1188855.61311387
08/05/2016 13:03:46,1181075.02069517
08/05/2016 13:18:46,1207116.690492
08/05/2016 13:33:46,1211346.29474183
08/05/2016 13:48:46,1219860.63292494
08/05/2016 14:03:46,1226213.26563489
08/05/2016 14:18:46,1254050.15789775
08/05/2016 14:33:46,1237189.26397644
08/05/2016 14:48:46,1261409.43642853
08/05/2016 15:03:46,1260044.89362538
08/05/2016 15:18:46,1272542.5479522
08/05/2016 15:33:46,1271217.83802686
08/05/2016 15:48:46,1264716.00985046
08/05/2016 16:03:46,1270964.70364486
08/05/2016 16:18:46,1272483.0653735
08/05/2016 16:33:46,1271598.11753224
08/05/2016 16:48:46,1277220.07367596
08/05/2016 17:03:46,1282064.38400322
08/05/2016 17:18:46,1258709.29624498
08/05/2016 17:33:46,1282963.46895959
08/05/2016 17:48:46,1282801.64789347
08/05/2016 18:03:46,1274918.5176098
08/05/2016 18:18:46,1277749.54086162
08/05/2016 18:33:46,1269753.00347799
08/05/2016 18:48:46,1268361.99881587
08/05/2016 19:03:46,1286542.71711024
08/05/2016 19:18:46,1238165.48233208
08/05/2016 19:33:46,1292897.10042939
08/05/2016 19:48:46,1268838.82367396
08/05/2016 20:03:46,1244182.46314678
08/05/2016 20:18:46,1255242.67404176
08/05/2016 20:33:46,1217961.08175245
08/05/2016 20:48:46,1271048.7261215
08/05/2016 21:03:46,1269757.80301217
08/05/2016 21:18:46,1202136.1754177
08/05/2016 21:33:46,1212992.31320354
08/05/2016 21:48:46,1266136.92328873
08/05/2016 22:03:46,1264516.40089802
08/05/2016 22:18:46,1215118.4370476
08/05/2016 22:33:46,1249596.8000859
08/05/2016 22:48:46,1230326.06029589
08/05/2016 23:03:46,1242858.09954893
08/05/2016 23:18:46,1241496.62372255
08/05/2016 23:33:46,1191933.00835827
08/05/2016 23:48:46,1249492.8143748
08/06/2016 00:03:46,1188245.37557986
08/06/2016 00:18:46,1228118.77053464
08/06/2016 00:33:46,1231754.54286726
08/06/2016 00:48:46,1205859.38973546
08/06/2016 01:03:46,1202927.13971317
08/06/2016 01:18:46,1204353.24514672
08/06/2016 01:33:46,1217548.85012866
08/06/2016 01:48:46,1200550.01711904
08/06/2016 02:03:46,1183817.61362315
08/06/2016 02:18:46,1208500.61269029
08/06/2016 02:33:46,1157831.27497412
08/06/2016 02:48:46,1165600.55832901
08/06/2016 03:03:46,1202299.36608679
08/06/2016 03:18:46,1147160.81830976
08/06/2016 03:33:46,1161170.23517122
08/06/2016 03:48:46,1175253.77056865
08/06/2016 04:03:46,1166906.11989753
08/06/2016 04:18:46,1169444.26695631
08/06/2016 04:33:46,1155708.91824505
08/06/2016 04:48:46,1141733.83030325
08/06/2016 05:03:46,1144740.4027268
08/06/2016 05:18:46,1159110.93951755
08/06/2016 05:33:46,1117503.76003623
08/06/2016 05:48:46,1109801.72425907
08/06/2016 06:03:46,1107715.77487456
08/06/2016 06:18:46,1121923.99474134
08/06/2016 06:33:46,1125489.50164863
08/06/2016 06:48:46,1101649.97529139
08/06/2016 07:03:46,1121639.20703239
08/06/2016 07:18:46,1136172.25045366
08/06/2016 07:33:46,1084977.64364365
08/06/2016 07:48:46,1116808.71610188
08/06/2016 08:03:46,1137593.00917827
08/06/2016 08:18:46,1121370.51360565
08/06/2016 08:33:46,1084224.14970686
08/06/2016 08:48:46,1084902.43536925
08/06/2016 09:03:46,1110939.18558577
08/06/2016 09:18:46,1099143.30149035
08/06/2016 09:33:46,1107166.12426514
08/06/2016 09:48:46,1103150.35212341
08/06/2016 10:03:46,1103078.71487369
08/06/2016 10:18:46,1094878.24930017
08/06/2016 10:33:46,1097488.8644289
08/06/2016 10:48:46,1094647.2196298
08/06/2016 11:03:46,1124214.29505763
08/06/2016 11:18:46,1113967.40827341
