;DateTime,Heat [Watts/m]
08/04/2016 20:48:46,1854939.8614442
08/04/2016 21:03:46,1828268.96535858
08/04/2016 21:18:46,1783623.85479008
08/04/2016 21:33:46,1737971.33215413
08/04/2016 21:48:46,1699019.79947974
08/04/2016 22:03:46,1666538.40002504
08/04/2016 22:18:46,1637509.34546276
08/04/2016 22:33:46,1610246.41086072
08/04/2016 22:48:46,1583855.06929549
08/04/2016 23:03:46,1558468.87605852
08/04/2016 23:18:46,1524409.42534296
08/04/2016 23:33:46,1497345.65054318
08/04/2016 23:48:46,1473302.5300875
08/05/2016 00:03:46,1685559.31185615
08/05/2016 00:18:46,1703879.05311748
08/05/2016 00:33:46,1726146.73187073
08/05/2016 00:48:46,1757217.39167759
08/05/2016 01:03:46,1763915.28888656
08/05/2016 01:18:46,1778443.61643666
08/05/2016 01:33:46,1797904.15517734
08/05/2016 01:48:46,1816993.54217542
08/05/2016 02:03:46,1834946.94466379
08/05/2016 02:18:46,1853318.85613937
08/05/2016 02:33:46,1871965.89654025
08/05/2016 02:48:46,1890913.74820713
08/05/2016 03:03:46,1909993.1253936
08/05/2016 03:18:46,1928495.70701905
08/05/2016 03:33:46,1947354.80679635
08/05/2016 03:48:46,1966103.04585085
08/05/2016 04:03:46,1985219.46274074
08/05/2016 04:18:46,2003365.62437452
08/05/2016 04:33:46,2022359.03042665
08/05/2016 04:48:46,2042081.56241352
08/05/2016 05:03:46,2060102.32934713
08/05/2016 05:18:46,2077551.37033017
08/05/2016 05:33:46,2095586.55862931
08/05/2016 05:48:46,2114756.70984703
08/05/2016 06:03:46,2133093.57221425
08/05/2016 06:18:46,2152027.55198314
08/05/2016 06:33:46,2170110.51454686
08/05/2016 06:48:46,2189391.06681759
08/05/2016 07:03:46,2207643.99324898
08/05/2016 07:18:46,2228011.5021979
08/05/2016 07:33:46,2247952.75173041
08/05/2016 07:48:46,2266160.96689377
08/05/2016 08:03:46,2286923.82828058
08/05/2016 08:18:46,2306890.40886569
08/05/2016 08:33:46,2327735.52012206
08/05/2016 08:48:46,2348838.51054014
08/05/2016 09:03:46,2367041.17813773
08/05/2016 09:18:46,2385985.88329071
08/05/2016 09:33:46,2409035.8438172
08/05/2016 09:48:46,2423492.90180018
08/05/2016 10:03:46,2443583.18227707
08/05/2016 10:18:46,2465249.93755353
08/05/2016 10:33:46,2487814.663078
08/05/2016 10:48:46,2509915.14205229
08/05/2016 11:03:46,2530052.94573517
08/05/2016 11:18:46,2551598.75794576
08/05/2016 11:33:46,2573984.49396743
08/05/2016 11:48:46,2601667.9046645
08/05/2016 12:03:46,2624073.7161273
08/05/2016 12:18:46,2611984.32191357
08/05/2016 12:33:46,2600303.24253864
08/05/2016 12:48:46,2587192.52104136
08/05/2016 13:03:46,2564630.76756739
08/05/2016 13:18:46,2546735.50433459
08/05/2016 13:33:46,2531706.55454834
08/05/2016 13:48:46,2517813.88240417
08/05/2016 14:03:46,2498996.10750267
08/05/2016 14:18:46,2489604.30222695
08/05/2016 14:33:46,2484514.68007951
08/05/2016 14:48:46,2464684.64436155
08/05/2016 15:03:46,2448569.97197756
08/05/2016 15:18:46,2437913.52984261
08/05/2016 15:33:46,2433027.61268907
08/05/2016 15:48:46,2430831.66653534
08/05/2016 16:03:46,2397791.38715343
08/05/2016 16:18:46,2359238.06248538
08/05/2016 16:33:46,2353810.50311634
08/05/2016 16:48:46,2341904.15102664
08/05/2016 17:03:46,2322384.70736473
08/05/2016 17:18:46,2286657.64987421
08/05/2016 17:33:46,2273699.59578356
08/05/2016 17:48:46,2259116.58486893
08/05/2016 18:03:46,2238256.71484692
08/05/2016 18:18:46,2208691.05859382
08/05/2016 18:33:46,2181430.34206936
08/05/2016 18:48:46,2141752.28406933
08/05/2016 19:03:46,2116682.40267288
08/05/2016 19:18:46,2094914.29186411
08/05/2016 19:33:46,2072102.19588437
08/05/2016 19:48:46,2048124.54658714
08/05/2016 20:03:46,2026055.31847997
08/05/2016 20:18:46,1996446.01336147
08/05/2016 20:33:46,1972753.67319977
08/05/2016 20:48:46,1952741.39856215
08/05/2016 21:03:46,1944123.24686663
08/05/2016 21:18:46,1961984.33795219
08/05/2016 21:33:46,1946822.4760308
08/05/2016 21:48:46,1919490.32398472
08/05/2016 22:03:46,1868751.02741807
08/05/2016 22:18:46,1838424.87425347
08/05/2016 22:33:46,1828985.3022588
08/05/2016 22:48:46,1800753.46436598
08/05/2016 23:03:46,1773867.57291021
08/05/2016 23:18:46,1759753.34549764
08/05/2016 23:33:46,1734148.05555884
08/05/2016 23:48:46,1709560.66578139
08/06/2016 00:03:46,1723803.71147476
08/06/2016 00:18:46,1735495.70608962
08/06/2016 00:33:46,1749524.77907973
08/06/2016 00:48:46,1764277.76859531
08/06/2016 01:03:46,1775769.4476038
08/06/2016 01:18:46,1797984.36643481
08/06/2016 01:33:46,1827988.22617662
08/06/2016 01:48:46,1820402.0608414
08/06/2016 02:03:46,1829327.72263077
08/06/2016 02:18:46,1841079.99002204
08/06/2016 02:33:46,1857957.05821938
08/06/2016 02:48:46,1878287.41568105
08/06/2016 03:03:46,1883690.33881503
08/06/2016 03:18:46,1896684.47782839
08/06/2016 03:33:46,1910953.50482941
08/06/2016 03:48:46,1925924.24576789
08/06/2016 04:03:46,1939899.27857402
08/06/2016 04:18:46,1953828.29788165
08/06/2016 04:33:46,1968006.79199934
08/06/2016 04:48:46,1981724.96011298
08/06/2016 05:03:46,1996048.042821
08/06/2016 05:18:46,2010007.14462932
08/06/2016 05:33:46,2024313.03191201
08/06/2016 05:48:46,2039022.81747823
08/06/2016 06:03:46,2053036.57923442
08/06/2016 06:18:46,2067021.95877268
08/06/2016 06:33:46,2081416.28136456
08/06/2016 06:48:46,2095664.58768827
08/06/2016 07:03:46,2110795.94745326
08/06/2016 07:18:46,2125500.05143812
08/06/2016 07:33:46,2140257.95805034
08/06/2016 07:48:46,2155157.58512388
08/06/2016 08:03:46,2169237.01340296
08/06/2016 08:18:46,2185764.18197405
08/06/2016 08:33:46,2203076.01921772
08/06/2016 08:48:46,2219557.40713476
08/06/2016 09:03:46,2234154.45861405
08/06/2016 09:18:46,2248260.61768575
08/06/2016 09:33:46,2265047.44383728
08/06/2016 09:48:46,2280163.3431796
08/06/2016 10:03:46,2293643.15048639
08/06/2016 10:18:46,2309968.86389397
08/06/2016 10:33:46,2327352.94771247
08/06/2016 10:48:46,2344885.40049488
08/06/2016 11:03:46,2361559.43034824
08/06/2016 11:18:46,2377850.80247885
08/06/2016 11:33:46,2393165.42420142
08/06/2016 11:48:46,2413537.87245332
08/06/2016 12:03:46,2424884.57950768
08/06/2016 12:18:46,2413920.78000765
08/06/2016 12:33:46,2405495.72037303
08/06/2016 12:48:46,2399839.41854136
08/06/2016 13:03:46,2392838.51805283
08/06/2016 13:18:46,2376933.68730763
08/06/2016 13:33:46,2363280.59749518
08/06/2016 13:48:46,2353485.85606327
08/06/2016 14:03:46,2356222.66794153
08/06/2016 14:18:46,2344417.61873803
08/06/2016 14:33:46,2334016.52153838
08/06/2016 14:48:46,2327020.32873359
08/06/2016 15:03:46,2320638.66806005
08/06/2016 15:18:46,2305167.23083692
08/06/2016 15:33:46,2298723.41285323
08/06/2016 15:48:46,2288461.91446211
08/06/2016 16:03:46,2283890.37214647
08/06/2016 16:18:46,2265075.46039456
08/06/2016 16:33:46,2254950.76378037
08/06/2016 16:48:46,2253487.97274334
08/06/2016 17:03:46,2254343.14563423
08/06/2016 17:18:46,2228721.89017805
08/06/2016 17:33:46,2195350.75243811
08/06/2016 17:48:46,2172088.62140586
08/06/2016 18:03:46,2128610.33803318
08/06/2016 18:18:46,2100172.19482456
08/06/2016 18:33:46,2103540.75340918
08/06/2016 18:48:46,2121716.21947879
08/06/2016 19:03:46,2147910.7823967
08/06/2016 19:18:46,2143792.10760072
08/06/2016 19:33:46,2129835.05858386
08/06/2016 19:48:46,2064859.13860096
08/06/2016 20:03:46,2051823.61495225
08/06/2016 20:18:46,1980063.11203792
08/06/2016 20:33:46,2001141.57169706
08/06/2016 20:48:46,1993673.38364433
08/06/2016 21:03:46,1961343.31492439
08/06/2016 21:18:46,1942739.53598274
08/06/2016 21:33:46,1919888.84279321
08/06/2016 21:48:46,1898769.19969248
08/06/2016 22:03:46,1886599.20162235
08/06/2016 22:18:46,1886562.19626519
08/06/2016 22:33:46,1840622.39402957
08/06/2016 22:48:46,1817964.03724159
08/06/2016 23:03:46,1779142.22516596
08/06/2016 23:18:46,1758795.99456912
08/06/2016 23:33:46,1742278.14682403
08/06/2016 23:48:46,1727704.50599378
08/07/2016 00:03:46,1768836.32368941
08/07/2016 00:18:46,1786751.59101461
08/07/2016 00:33:46,1804442.52798123
08/07/2016 00:48:46,1822410.15742215
08/07/2016 01:03:46,1837614.50536994
08/07/2016 01:18:46,1855936.04270415
08/07/2016 01:33:46,1874281.8063455
08/07/2016 01:48:46,1892241.88536989
08/07/2016 02:03:46,1910799.30807079
08/07/2016 02:18:46,1929642.55112064
08/07/2016 02:33:46,1946515.04426157
08/07/2016 02:48:46,1963733.99017776
08/07/2016 03:03:46,1981359.50171012
08/07/2016 03:18:46,1999152.13039416
08/07/2016 03:33:46,2017150.23818994
08/07/2016 03:48:46,2035121.11752808
08/07/2016 04:03:46,2053774.15187549
08/07/2016 04:18:46,2072736.43780002
08/07/2016 04:33:46,2089018.69039416
08/07/2016 04:48:46,2106396.19196176
08/07/2016 05:03:46,2124217.72590981
08/07/2016 05:18:46,2142064.33850192
08/07/2016 05:33:46,2160443.78179453
08/07/2016 05:48:46,2178141.44227993
08/07/2016 06:03:46,2195583.28588355
08/07/2016 06:18:46,2212878.86204973
08/07/2016 06:33:46,2231452.98975372
08/07/2016 06:48:46,2249837.44342457
08/07/2016 07:03:46,2267665.18305494
08/07/2016 07:18:46,2286025.01834854
08/07/2016 07:33:46,2305567.40968623
08/07/2016 07:48:46,2324480.77649145
08/07/2016 08:03:46,2344391.41882778
08/07/2016 08:18:46,2365438.05153083
08/07/2016 08:33:46,2385983.84450964
08/07/2016 08:48:46,2406841.46465481
08/07/2016 09:03:46,2427004.48228877
08/07/2016 09:18:46,2448420.6849188
08/07/2016 09:33:46,2466934.70828967
08/07/2016 09:48:46,2482362.23706062
08/07/2016 10:03:46,2498352.13585453
08/07/2016 10:18:46,2515195.89891123
08/07/2016 10:33:46,2533784.24284998
08/07/2016 10:48:46,2552912.55275059
08/07/2016 11:03:46,2572760.12752529
08/07/2016 11:18:46,2592065.86304793
08/07/2016 11:33:46,2614719.7248026
08/07/2016 11:48:46,2637670.78769679
08/07/2016 12:03:46,2649340.90715509
08/07/2016 12:18:46,2634121.4582764
08/07/2016 12:33:46,2620445.61110779
08/07/2016 12:48:46,2606033.89516377
08/07/2016 13:03:46,2594159.11961618
08/07/2016 13:18:46,2577994.28955252
08/07/2016 13:33:46,2564623.4394711
08/07/2016 13:48:46,2553952.05158222
08/07/2016 14:03:46,2540392.87058059
08/07/2016 14:18:46,2524989.96073532
08/07/2016 14:33:46,2510233.9278743
08/07/2016 14:48:46,2495437.63826893
08/07/2016 15:03:46,2480833.74332473
08/07/2016 15:18:46,2463184.16059516
08/07/2016 15:33:46,2449964.08139654
08/07/2016 15:48:46,2440884.90896945
08/07/2016 16:03:46,2425766.52493799
08/07/2016 16:18:46,2408254.91945161
08/07/2016 16:33:46,2383559.79252582
08/07/2016 16:48:46,2368565.25329199
08/07/2016 17:03:46,2338013.02819387
08/07/2016 17:18:46,2312139.20110971
08/07/2016 17:33:46,2295180.18479255
08/07/2016 17:48:46,2280543.17415436
08/07/2016 18:03:46,2280767.62618822
08/07/2016 18:18:46,2332791.90011523
08/07/2016 18:33:46,2299995.15241271
08/07/2016 18:48:46,2235932.10265944
08/07/2016 19:03:46,2185056.79050834
08/07/2016 19:18:46,2163572.23109689
08/07/2016 19:33:46,2142162.80201821
08/07/2016 19:48:46,2125996.21176404
08/07/2016 20:03:46,2100701.29720136
08/07/2016 20:18:46,2080542.80629783
08/07/2016 20:33:46,2075049.31792617
08/07/2016 20:48:46,2057231.71022966
08/07/2016 21:03:46,2036017.15578873
