;DateTime,Heat [Watts/m]
08/04/2016 15:28:45,89493.0265192374
08/04/2016 15:43:45,89373.0803316269
08/04/2016 15:58:45,89664.2438223364
08/04/2016 16:13:45,89859.6855515606
08/04/2016 16:28:45,90112.9836771617
08/04/2016 16:43:45,89883.6747890827
08/04/2016 16:58:45,90494.694780087
08/04/2016 17:13:45,90575.5996595733
08/04/2016 17:28:45,90179.3068632522
08/04/2016 17:43:45,90541.4973121154
08/04/2016 17:58:45,90450.9496998996
08/04/2016 18:13:45,90121.2152782722
08/04/2016 18:28:45,89906.0177063827
08/04/2016 18:43:45,89816.6460371827
08/04/2016 18:58:45,87299.1623011561
08/04/2016 19:13:45,89784.1900099469
08/04/2016 19:28:45,89771.7250139796
08/04/2016 19:43:45,89734.3300260774
08/04/2016 19:58:45,89674.121743669
08/04/2016 20:13:45,87091.515692392
08/04/2016 20:28:45,87014.6772997215
08/04/2016 20:43:45,89376.6081606743
08/04/2016 20:58:45,89281.5919649985
08/04/2016 21:13:45,89170.3477557048
08/04/2016 21:28:45,89057.457226189
08/04/2016 21:43:45,89001.4823386374
08/04/2016 21:58:45,81524.8344766104
08/04/2016 22:13:45,81440.7193268819
08/04/2016 22:28:45,86251.3244582516
08/04/2016 22:43:45,81264.5088721942
08/04/2016 22:58:45,86130.1210412417
08/04/2016 23:13:45,81046.6722023845
08/04/2016 23:28:45,78485.7056702349
08/04/2016 23:43:45,88165.386854411
08/04/2016 23:58:45,80758.5238945966
08/05/2016 00:13:45,87925.2592905868
08/05/2016 00:28:45,87794.494427231
08/05/2016 00:43:45,85218.1224996653
08/05/2016 00:58:45,87488.7492431257
08/05/2016 01:13:45,77670.1247015872
08/05/2016 01:28:45,87108.2140832162
08/05/2016 01:43:45,84366.9543522863
08/05/2016 01:58:45,84071.7211233055
08/05/2016 02:13:45,78989.948951587
08/05/2016 02:28:45,83444.6649545486
08/05/2016 02:43:45,75971.3986060786
08/05/2016 02:58:45,75692.7748948093
08/05/2016 03:13:45,75440.0891266312
08/05/2016 03:28:45,77519.4435904358
08/05/2016 03:43:45,81928.9361848474
08/05/2016 03:58:45,74735.5811239624
08/05/2016 04:13:45,81488.7162268397
08/05/2016 04:28:45,76690.1544860612
08/05/2016 04:43:45,83428.6883868106
08/05/2016 04:58:45,74023.3335737585
08/05/2016 05:13:45,76169.2875973578
08/05/2016 05:28:45,76009.4688128736
08/05/2016 05:43:45,82665.7365581663
08/05/2016 05:58:45,73382.2061900946
08/05/2016 06:13:45,75509.5228716667
08/05/2016 06:28:45,73050.0331769598
08/05/2016 06:43:45,72908.0020208398
08/05/2016 06:58:45,75029.8508383431
08/05/2016 07:13:45,74892.0314007111
08/05/2016 07:28:45,79287.8451224938
08/05/2016 07:43:45,72475.8424206279
