DATETIME,VALUE
08/01/2016 07:18:00,94
08/01/2016 08:18:00,94
08/01/2016 09:18:00,92
08/01/2016 10:18:00,83
08/01/2016 11:18:00,73
08/01/2016 12:18:00,62
08/01/2016 13:18:00,55
08/01/2016 14:18:00,49
08/01/2016 15:18:00,41
08/01/2016 16:18:00,39
08/01/2016 17:18:00,34
08/01/2016 18:18:00,33
08/01/2016 19:18:00,33
08/01/2016 20:18:00,37
08/01/2016 21:18:00,42
08/01/2016 22:18:00,49
08/01/2016 23:18:00,57
08/02/2016 00:18:00,64
08/02/2016 01:18:00,71
08/02/2016 02:18:00,77
08/02/2016 03:18:00,85
08/02/2016 04:18:00,91
08/02/2016 05:18:00,93
08/02/2016 06:18:00,94
08/02/2016 07:18:00,95
08/02/2016 08:18:00,96
08/02/2016 09:18:00,92
08/02/2016 10:18:00,85
08/02/2016 11:18:00,72
08/02/2016 12:18:00,63
08/02/2016 13:18:00,57
08/02/2016 14:18:00,53
08/02/2016 15:18:00,51
08/02/2016 16:18:00,47
08/02/2016 17:18:00,44
08/02/2016 18:18:00,44
08/02/2016 19:18:00,43
08/02/2016 20:18:00,45
08/02/2016 21:18:00,52
08/02/2016 22:18:00,58
08/02/2016 23:18:00,61
08/03/2016 00:18:00,63
08/03/2016 01:18:00,68
08/03/2016 02:18:00,74
08/03/2016 03:18:00,80
08/03/2016 04:18:00,83
08/03/2016 05:18:00,86
08/03/2016 06:18:00,89
08/03/2016 07:18:00,91
08/03/2016 08:18:00,93
08/03/2016 09:18:00,89
08/03/2016 10:18:00,81
08/03/2016 11:18:00,72
08/03/2016 12:18:00,65
08/03/2016 13:18:00,56
08/03/2016 14:18:00,52
08/03/2016 15:18:00,50
08/03/2016 16:18:00,46
08/03/2016 17:18:00,45
08/03/2016 18:18:00,43
08/03/2016 19:18:00,42
08/03/2016 20:18:00,45
08/03/2016 21:18:00,51
08/03/2016 22:18:00,57
08/03/2016 23:18:00,62
08/04/2016 00:18:00,66
08/04/2016 01:18:00,69
08/04/2016 02:18:00,74
08/04/2016 03:18:00,77
08/04/2016 04:18:00,82
08/04/2016 05:18:00,85
08/04/2016 06:18:00,87
08/04/2016 07:18:00,91
08/04/2016 08:18:00,93
08/04/2016 09:18:00,89
08/04/2016 10:18:00,81
08/04/2016 11:18:00,72
08/04/2016 12:18:00,64
08/04/2016 13:18:00,60
08/04/2016 14:18:00,53
08/04/2016 15:18:00,50
08/04/2016 16:18:00,48
08/04/2016 17:18:00,48
08/04/2016 18:18:00,44
08/04/2016 19:18:00,43
08/04/2016 20:18:00,44
08/04/2016 21:18:00,51
08/04/2016 22:18:00,54
08/04/2016 23:18:00,61
08/05/2016 00:18:00,62
08/05/2016 01:18:00,66
08/05/2016 02:18:00,72
08/05/2016 03:18:00,77
08/05/2016 04:18:00,81
08/05/2016 05:18:00,85
08/05/2016 06:18:00,88
08/05/2016 07:18:00,91
08/05/2016 08:18:00,92
08/05/2016 09:18:00,87
08/05/2016 10:18:00,82
08/05/2016 11:18:00,75
08/05/2016 12:18:00,63
08/05/2016 13:18:00,60
08/05/2016 14:18:00,55
08/05/2016 15:18:00,50
08/05/2016 16:18:00,46
08/05/2016 17:18:00,45
08/05/2016 18:18:00,45
08/05/2016 19:18:00,44
08/05/2016 20:18:00,46
08/05/2016 21:18:00,54
08/05/2016 22:18:00,60
08/05/2016 23:18:00,64
08/06/2016 00:18:00,69
08/06/2016 01:18:00,70
08/06/2016 02:18:00,73
08/06/2016 03:18:00,77
08/06/2016 04:18:00,80
08/06/2016 05:18:00,83
08/06/2016 06:18:00,87
08/06/2016 07:18:00,89
08/06/2016 08:18:00,90
08/06/2016 09:18:00,89
08/06/2016 10:18:00,84
08/06/2016 11:18:00,76
08/06/2016 12:18:00,67
08/06/2016 13:18:00,58
08/06/2016 14:18:00,52
08/06/2016 15:18:00,48
08/06/2016 16:18:00,43
08/06/2016 17:18:00,40
08/06/2016 18:18:00,40
08/06/2016 19:18:00,40
08/06/2016 20:18:00,42
08/06/2016 21:18:00,46
08/06/2016 22:18:00,48
08/06/2016 23:18:00,55
08/07/2016 00:18:00,62
