DateTime (CDT), Wind Speed (m/s)
08/01/2016 07:18:00,1.34
08/01/2016 08:18:00,1.79
08/01/2016 09:18:00,2.23
08/01/2016 10:18:00,4.47
08/01/2016 11:18:00,3.58
08/01/2016 12:18:00,3.58
08/01/2016 13:18:00,3.13
08/01/2016 14:18:00,3.13
08/01/2016 15:18:00,3.58
08/01/2016 16:18:00,3.13
08/01/2016 17:18:00,3.58
08/01/2016 18:18:00,3.13
08/01/2016 19:18:00,2.68
08/01/2016 20:18:00,2.68
08/01/2016 21:18:00,1.79
08/01/2016 22:18:00,2.23
08/01/2016 23:18:00,4.47
08/02/2016 00:18:00,3.13
08/02/2016 01:18:00,3.58
08/02/2016 02:18:00,2.23
08/02/2016 03:18:00,1.34
08/02/2016 04:18:00,0.9
08/02/2016 05:18:00,0.9
08/02/2016 06:18:00,0.9
08/02/2016 07:18:00,1.34
08/02/2016 08:18:00,0.9
08/02/2016 09:18:00,1.79
08/02/2016 10:18:00,2.23
08/02/2016 11:18:00,3.13
08/02/2016 12:18:00,3.13
08/02/2016 13:18:00,3.13
08/02/2016 14:18:00,2.23
08/02/2016 15:18:00,3.13
08/02/2016 16:18:00,2.68
08/02/2016 17:18:00,3.13
08/02/2016 18:18:00,2.23
08/02/2016 19:18:00,2.23
08/02/2016 20:18:00,2.23
08/02/2016 21:18:00,1.79
08/02/2016 22:18:00,2.68
08/02/2016 23:18:00,3.13
08/03/2016 00:18:00,3.13
08/03/2016 01:18:00,1.79
08/03/2016 02:18:00,1.34
08/03/2016 03:18:00,1.34
08/03/2016 04:18:00,0.9
08/03/2016 05:18:00,1.34
08/03/2016 06:18:00,0.9
08/03/2016 07:18:00,0.9
08/03/2016 08:18:00,1.34
08/03/2016 09:18:00,1.34
08/03/2016 10:18:00,2.68
08/03/2016 11:18:00,2.23
08/03/2016 12:18:00,1.79
08/03/2016 13:18:00,2.68
08/03/2016 14:18:00,4.02
08/03/2016 15:18:00,3.13
08/03/2016 16:18:00,3.13
08/03/2016 17:18:00,2.23
08/03/2016 18:18:00,3.13
08/03/2016 19:18:00,2.23
08/03/2016 20:18:00,2.23
08/03/2016 21:18:00,1.79
08/03/2016 22:18:00,1.34
08/03/2016 23:18:00,2.23
08/04/2016 00:18:00,2.68
08/04/2016 01:18:00,2.23
08/04/2016 02:18:00,1.34
08/04/2016 03:18:00,1.79
08/04/2016 04:18:00,1.34
08/04/2016 05:18:00,1.34
08/04/2016 06:18:00,1.34
08/04/2016 07:18:00,1.34
08/04/2016 08:18:00,1.34
08/04/2016 09:18:00,1.79
08/04/2016 10:18:00,2.68
08/04/2016 11:18:00,3.13
08/04/2016 12:18:00,3.58
08/04/2016 13:18:00,2.68
08/04/2016 14:18:00,2.68
08/04/2016 15:18:00,3.58
08/04/2016 16:18:00,3.13
08/04/2016 17:18:00,3.13
08/04/2016 18:18:00,3.13
08/04/2016 19:18:00,3.13
08/04/2016 20:18:00,2.23
08/04/2016 21:18:00,1.79
08/04/2016 22:18:00,2.68
08/04/2016 23:18:00,2.68
08/05/2016 00:18:00,3.58
08/05/2016 01:18:00,1.79
08/05/2016 02:18:00,0.9
08/05/2016 03:18:00,0.9
08/05/2016 04:18:00,0.45
08/05/2016 05:18:00,0.9
08/05/2016 06:18:00,1.34
08/05/2016 07:18:00,1.34
08/05/2016 08:18:00,0.9
08/05/2016 09:18:00,1.79
08/05/2016 10:18:00,2.23
08/05/2016 11:18:00,2.68
08/05/2016 12:18:00,2.68
08/05/2016 13:18:00,2.23
08/05/2016 14:18:00,1.79
08/05/2016 15:18:00,1.79
08/05/2016 16:18:00,2.68
08/05/2016 17:18:00,1.79
08/05/2016 18:18:00,2.23
08/05/2016 19:18:00,1.79
08/05/2016 20:18:00,2.23
08/05/2016 21:18:00,2.68
08/05/2016 22:18:00,2.68
08/05/2016 23:18:00,2.23
08/06/2016 00:18:00,2.23
08/06/2016 01:18:00,1.79
08/06/2016 02:18:00,1.34
08/06/2016 03:18:00,1.34
08/06/2016 04:18:00,1.34
08/06/2016 05:18:00,1.34
08/06/2016 06:18:00,0.9
08/06/2016 07:18:00,0.9
08/06/2016 08:18:00,1.34
08/06/2016 09:18:00,1.34
08/06/2016 10:18:00,2.23
08/06/2016 11:18:00,3.13
08/06/2016 12:18:00,3.13
08/06/2016 13:18:00,3.13
08/06/2016 14:18:00,3.13
