DATETIME,VALUE
08/01/2016 07:18:00,24.44
08/01/2016 08:18:00,23.89
08/01/2016 09:18:00,25
08/01/2016 10:18:00,27.22
08/01/2016 11:18:00,29.44
08/01/2016 12:18:00,31.11
08/01/2016 13:18:00,32.78
08/01/2016 14:18:00,33.89
08/01/2016 15:18:00,34.44
08/01/2016 16:18:00,35
08/01/2016 17:18:00,35.56
08/01/2016 18:18:00,35.56
08/01/2016 19:18:00,35.56
08/01/2016 20:18:00,34.44
08/01/2016 21:18:00,32.22
08/01/2016 22:18:00,30.56
08/01/2016 23:18:00,29.44
08/02/2016 00:18:00,28.33
08/02/2016 01:18:00,27.22
08/02/2016 02:18:00,26.11
08/02/2016 03:18:00,25
08/02/2016 04:18:00,24.44
08/02/2016 05:18:00,23.89
08/02/2016 06:18:00,23.33
08/02/2016 07:18:00,23.33
08/02/2016 08:18:00,23.33
08/02/2016 09:18:00,26.11
08/02/2016 10:18:00,27.22
08/02/2016 11:18:00,29.44
08/02/2016 12:18:00,31.11
08/02/2016 13:18:00,32.22
08/02/2016 14:18:00,33.33
08/02/2016 15:18:00,33.89
08/02/2016 16:18:00,35
08/02/2016 17:18:00,35.56
08/02/2016 18:18:00,36.11
08/02/2016 19:18:00,35.56
08/02/2016 20:18:00,35
08/02/2016 21:18:00,32.78
08/02/2016 22:18:00,31.11
08/02/2016 23:18:00,30.56
08/03/2016 00:18:00,29.44
08/03/2016 01:18:00,28.33
08/03/2016 02:18:00,27.22
08/03/2016 03:18:00,26.11
08/03/2016 04:18:00,25.56
08/03/2016 05:18:00,25
08/03/2016 06:18:00,24.44
08/03/2016 07:18:00,24.44
08/03/2016 08:18:00,24.44
08/03/2016 09:18:00,26.67
08/03/2016 10:18:00,28.33
08/03/2016 11:18:00,30
08/03/2016 12:18:00,31.67
08/03/2016 13:18:00,32.78
08/03/2016 14:18:00,33.33
08/03/2016 15:18:00,34.44
08/03/2016 16:18:00,35
08/03/2016 17:18:00,36.11
08/03/2016 18:18:00,36.11
08/03/2016 19:18:00,36.11
08/03/2016 20:18:00,35
08/03/2016 21:18:00,32.78
08/03/2016 22:18:00,31.11
08/03/2016 23:18:00,30.56
08/04/2016 00:18:00,29.44
08/04/2016 01:18:00,28.33
08/04/2016 02:18:00,27.22
08/04/2016 03:18:00,26.67
08/04/2016 04:18:00,25.56
08/04/2016 05:18:00,25.56
08/04/2016 06:18:00,24.44
08/04/2016 07:18:00,24.44
08/04/2016 08:18:00,24.44
08/04/2016 09:18:00,26.67
08/04/2016 10:18:00,28.33
08/04/2016 11:18:00,30.56
08/04/2016 12:18:00,30.56
08/04/2016 13:18:00,32.78
08/04/2016 14:18:00,33.89
08/04/2016 15:18:00,34.44
08/04/2016 16:18:00,35
08/04/2016 17:18:00,35
08/04/2016 18:18:00,36.11
08/04/2016 19:18:00,35.56
08/04/2016 20:18:00,35
08/04/2016 21:18:00,32.78
08/04/2016 22:18:00,31.67
08/04/2016 23:18:00,30.56
08/05/2016 00:18:00,29.44
08/05/2016 01:18:00,28.33
08/05/2016 02:18:00,27.22
08/05/2016 03:18:00,26.11
08/05/2016 04:18:00,25.56
08/05/2016 05:18:00,25.56
08/05/2016 06:18:00,25
08/05/2016 07:18:00,25
08/05/2016 08:18:00,25
08/05/2016 09:18:00,26.67
08/05/2016 10:18:00,28.89
08/05/2016 11:18:00,30.56
08/05/2016 12:18:00,31.67
08/05/2016 13:18:00,32.78
08/05/2016 14:18:00,33.33
08/05/2016 15:18:00,35
08/05/2016 16:18:00,36.11
08/05/2016 17:18:00,36.11
08/05/2016 18:18:00,36.11
08/05/2016 19:18:00,36.67
08/05/2016 20:18:00,35.56
08/05/2016 21:18:00,32.22
08/05/2016 22:18:00,31.11
08/05/2016 23:18:00,30
08/06/2016 00:18:00,29.44
08/06/2016 01:18:00,28.89
08/06/2016 02:18:00,27.78
08/06/2016 03:18:00,26.67
08/06/2016 04:18:00,26.11
08/06/2016 05:18:00,25.56
08/06/2016 06:18:00,25
08/06/2016 07:18:00,24.44
08/06/2016 08:18:00,24.44
08/06/2016 09:18:00,26.11
08/06/2016 10:18:00,27.78
08/06/2016 11:18:00,30
08/06/2016 12:18:00,32.22
08/06/2016 13:18:00,33.33
08/06/2016 14:18:00,33.89
08/06/2016 15:18:00,35
08/06/2016 16:18:00,35.56
08/06/2016 17:18:00,36.11
08/06/2016 18:18:00,36.67
08/06/2016 19:18:00,36.11
08/06/2016 20:18:00,36.11
08/06/2016 21:18:00,33.33
08/06/2016 22:18:00,32.22
08/06/2016 23:18:00,30.56
08/07/2016 00:18:00,29.44
08/07/2016 01:18:00,28.33
08/07/2016 02:18:00,27.78
08/07/2016 03:18:00,26.67
08/07/2016 04:18:00,26.11
08/07/2016 05:18:00,26.11
08/07/2016 06:18:00,25.56
08/07/2016 07:18:00,25
08/07/2016 08:18:00,25
08/07/2016 09:18:00,27.22
08/07/2016 10:18:00,28.89
08/07/2016 11:18:00,31.11
08/07/2016 12:18:00,31.67
08/07/2016 13:18:00,33.33
08/07/2016 14:18:00,34.44
08/07/2016 15:18:00,35.56
08/07/2016 16:18:00,36.11
08/07/2016 17:18:00,36.67
08/07/2016 18:18:00,36.67
08/07/2016 19:18:00,36.67
08/07/2016 20:18:00,35.56
08/07/2016 21:18:00,33.89
08/07/2016 22:18:00,32.22
08/07/2016 23:18:00,30.56
08/08/2016 00:18:00,30
08/08/2016 01:18:00,28.89
08/08/2016 02:18:00,28.33
08/08/2016 03:18:00,27.22
08/08/2016 04:18:00,26.11
08/08/2016 05:18:00,25.56
08/08/2016 06:18:00,25.56
08/08/2016 07:18:00,25
08/08/2016 08:18:00,25
08/08/2016 09:18:00,27.22
08/08/2016 10:18:00,27.78
08/08/2016 11:18:00,30
08/08/2016 12:18:00,32.22
08/08/2016 13:18:00,33.33
08/08/2016 14:18:00,34.44
08/08/2016 15:18:00,35
08/08/2016 16:18:00,36.11
08/08/2016 17:18:00,36.67
08/08/2016 18:18:00,36.67
08/08/2016 19:18:00,36.67
08/08/2016 20:18:00,35.56
08/08/2016 21:18:00,33.33
08/08/2016 22:18:00,32.22
08/08/2016 23:18:00,30.56
08/09/2016 00:18:00,29.44
08/09/2016 01:18:00,28.89
08/09/2016 02:18:00,27.78
08/09/2016 03:18:00,27.22
08/09/2016 04:18:00,26.67
08/09/2016 05:18:00,26.11
08/09/2016 06:18:00,26.11
08/09/2016 07:18:00,25.56
08/09/2016 08:18:00,25.56
08/09/2016 09:18:00,27.22
08/09/2016 10:18:00,28.89
08/09/2016 11:18:00,30
08/09/2016 12:18:00,32.22
08/09/2016 13:18:00,33.33
08/09/2016 14:18:00,34.44
08/09/2016 15:18:00,36.11
08/09/2016 16:18:00,36.67
08/09/2016 17:18:00,37.22
08/09/2016 18:18:00,37.22
08/09/2016 19:18:00,36.67
08/09/2016 20:18:00,36.11
08/09/2016 21:18:00,33.89
08/09/2016 22:18:00,32.78
08/09/2016 23:18:00,31.67
08/10/2016 00:18:00,30.56
08/10/2016 01:18:00,29.44
08/10/2016 02:18:00,28.33
08/10/2016 03:18:00,27.78
08/10/2016 04:18:00,27.22
08/10/2016 05:18:00,27.22
08/10/2016 06:18:00,27.22
08/10/2016 07:18:00,26.67
08/10/2016 08:18:00,26.67
08/10/2016 09:18:00,27.78
08/10/2016 10:18:00,29.44
08/10/2016 11:18:00,30.56
08/10/2016 12:18:00,32.22
08/10/2016 13:18:00,33.33
08/10/2016 14:18:00,35
08/10/2016 15:18:00,35.56
08/10/2016 16:18:00,36.67
08/10/2016 17:18:00,37.22
08/10/2016 18:18:00,37.22
08/10/2016 19:18:00,37.22
08/10/2016 20:18:00,35.56
08/10/2016 21:18:00,33.89
08/10/2016 22:18:00,32.78
08/10/2016 23:18:00,31.11
08/11/2016 00:18:00,30
08/11/2016 01:18:00,29.44
08/11/2016 02:18:00,28.33
08/11/2016 03:18:00,27.22
08/11/2016 04:18:00,27.22
08/11/2016 05:18:00,26.67
08/11/2016 06:18:00,26.11
08/11/2016 07:18:00,25.56
08/11/2016 08:18:00,25.56
08/11/2016 09:18:00,27.22
08/11/2016 10:18:00,30
08/11/2016 11:18:00,30
08/11/2016 12:18:00,33.33
08/11/2016 13:18:00,33.89
08/11/2016 14:18:00,35
08/11/2016 15:18:00,36.11
08/11/2016 16:18:00,37.22
08/11/2016 17:18:00,37.22
08/11/2016 18:18:00,37.78
08/11/2016 19:18:00,37.78
08/11/2016 20:18:00,37.22
08/11/2016 21:18:00,34.44
08/11/2016 22:18:00,33.33
08/11/2016 23:18:00,31.67
08/12/2016 00:18:00,30.56
08/12/2016 01:18:00,29.44
08/12/2016 02:18:00,28.33
08/12/2016 03:18:00,27.22
08/12/2016 04:18:00,26.67
08/12/2016 05:18:00,26.11
08/12/2016 06:18:00,25.56
08/12/2016 07:18:00,25.56
08/12/2016 08:18:00,25.56
08/12/2016 09:18:00,26.11
08/12/2016 10:18:00,27.78
08/12/2016 11:18:00,29.44
08/12/2016 12:18:00,31.67
08/12/2016 13:18:00,33.33
08/12/2016 14:18:00,35
08/12/2016 15:18:00,36.11
08/12/2016 16:18:00,38.33
08/12/2016 17:18:00,38.33
08/12/2016 18:18:00,38.89
08/12/2016 19:18:00,38.89
08/12/2016 20:18:00,37.22
08/12/2016 21:18:00,34.44
08/12/2016 22:18:00,30.56
08/12/2016 23:18:00,30.56
08/13/2016 00:18:00,29.44
08/13/2016 01:18:00,28.89
08/13/2016 02:18:00,28.33
08/13/2016 03:18:00,27.22
08/13/2016 04:18:00,26.11
08/13/2016 05:18:00,25.56
08/13/2016 06:18:00,26.67
08/13/2016 07:18:00,26.67
08/13/2016 08:18:00,26.11
08/13/2016 09:18:00,26.11
08/13/2016 10:18:00,26.67
08/13/2016 11:18:00,28.33
08/13/2016 12:18:00,30
08/13/2016 13:18:00,32.78
08/13/2016 14:18:00,32.22
08/13/2016 15:18:00,32.22
08/13/2016 16:18:00,32.78
08/13/2016 17:18:00,33.89
08/13/2016 18:18:00,29.44
08/13/2016 19:18:00,25.56
08/13/2016 20:18:00,25
08/13/2016 21:18:00,25
08/13/2016 22:18:00,25
08/13/2016 23:18:00,25
08/14/2016 00:18:00,25.56
08/14/2016 01:18:00,25
08/14/2016 02:18:00,24.44
08/14/2016 03:18:00,24.44
08/14/2016 04:18:00,24.44
08/14/2016 05:18:00,25
08/14/2016 06:18:00,24.44
08/14/2016 07:18:00,24.44
08/14/2016 08:18:00,24.44
08/14/2016 09:18:00,25
08/14/2016 10:18:00,25
08/14/2016 11:18:00,27.22
08/14/2016 12:18:00,27.22
08/14/2016 13:18:00,29.44
08/14/2016 14:18:00,23.89
08/14/2016 15:18:00,24.44
08/14/2016 16:18:00,23.89
08/14/2016 17:18:00,25
08/14/2016 18:18:00,25
08/14/2016 19:18:00,25
08/14/2016 20:18:00,25
08/14/2016 21:18:00,23.33
08/14/2016 22:18:00,22.22
08/14/2016 23:18:00,21.67
08/15/2016 00:18:00,22.22
08/15/2016 01:18:00,22.22
08/15/2016 02:18:00,22.78
08/15/2016 03:18:00,22.78
08/15/2016 04:18:00,22.22
08/15/2016 05:18:00,22.22
08/15/2016 06:18:00,21.67
08/15/2016 07:18:00,22.22
08/15/2016 08:18:00,21.67
08/15/2016 09:18:00,22.22
08/15/2016 10:18:00,22.22
08/15/2016 11:18:00,22.78
08/15/2016 12:18:00,23.33
08/15/2016 13:18:00,23.33
08/15/2016 14:18:00,23.89
08/15/2016 15:18:00,23.89
08/15/2016 16:18:00,24.44
08/15/2016 17:18:00,25.56
08/15/2016 18:18:00,25.56
08/15/2016 19:18:00,25
08/15/2016 20:18:00,24.44
08/15/2016 21:18:00,24.44
08/15/2016 22:18:00,23.89
08/15/2016 23:18:00,23.89
08/16/2016 00:18:00,23.33
08/16/2016 01:18:00,22.22
08/16/2016 02:18:00,22.22
08/16/2016 03:18:00,22.22
08/16/2016 04:18:00,23.33
08/16/2016 05:18:00,23.89
08/16/2016 06:18:00,23.89
08/16/2016 07:18:00,24.44
08/16/2016 08:18:00,24.44
08/16/2016 09:18:00,24.44
08/16/2016 10:18:00,25
08/16/2016 11:18:00,23.89
08/16/2016 12:18:00,24.44
08/16/2016 13:18:00,26.11
08/16/2016 14:18:00,28.33
08/16/2016 15:18:00,23.89
08/16/2016 16:18:00,23.89
08/16/2016 17:18:00,23.89
08/16/2016 18:18:00,23.33
08/16/2016 19:18:00,23.33
08/16/2016 20:18:00,23.33
08/16/2016 21:18:00,23.33
08/16/2016 22:18:00,23.33
08/16/2016 23:18:00,23.33
08/17/2016 00:18:00,23.89
08/17/2016 01:18:00,23.89
08/17/2016 02:18:00,24.44
08/17/2016 03:18:00,24.44
08/17/2016 04:18:00,24.44
08/17/2016 05:18:00,24.44
08/17/2016 06:18:00,24.44
08/17/2016 07:18:00,24.44
08/17/2016 08:18:00,24.44
08/17/2016 09:18:00,25
08/17/2016 10:18:00,25.56
08/17/2016 11:18:00,27.22
08/17/2016 12:18:00,27.78
08/17/2016 13:18:00,23.89
08/17/2016 14:18:00,26.11
08/17/2016 15:18:00,28.33
08/17/2016 16:18:00,26.11
08/17/2016 17:18:00,27.22
08/17/2016 18:18:00,27.22
08/17/2016 19:18:00,26.67
08/17/2016 20:18:00,26.11
08/17/2016 21:18:00,25
08/17/2016 22:18:00,24.44
08/17/2016 23:18:00,24.44
08/18/2016 00:18:00,23.89
08/18/2016 01:18:00,23.89
08/18/2016 02:18:00,23.33
08/18/2016 03:18:00,23.89
08/18/2016 04:18:00,23.33
08/18/2016 05:18:00,23.89
08/18/2016 06:18:00,23.89
08/18/2016 07:18:00,23.89
08/18/2016 08:18:00,23.89
08/18/2016 09:18:00,23.33
08/18/2016 12:18:00,25.56
08/18/2016 13:18:00,27.22
08/18/2016 14:18:00,30
08/18/2016 15:18:00,30.56
08/18/2016 16:18:00,30.56
08/18/2016 17:18:00,29.44
08/18/2016 18:18:00,28.89
08/18/2016 19:18:00,26.67
08/18/2016 20:18:00,26.11
08/18/2016 21:18:00,25.56
08/18/2016 22:18:00,24.44
08/18/2016 23:18:00,23.89
08/19/2016 01:18:00,23.33
08/19/2016 02:18:00,23.33
08/19/2016 03:18:00,23.33
08/19/2016 04:18:00,23.89
08/19/2016 05:18:00,24.44
08/19/2016 06:18:00,25
08/19/2016 07:18:00,25
08/19/2016 08:18:00,25
08/19/2016 09:18:00,25.56
08/19/2016 10:18:00,27.22
08/19/2016 13:18:00,31.67
08/19/2016 14:18:00,32.22
08/19/2016 15:18:00,33.33
08/19/2016 16:18:00,33.33
08/19/2016 17:18:00,33.33
08/19/2016 18:18:00,32.78
08/19/2016 19:18:00,33.33
08/19/2016 20:18:00,31.11
08/19/2016 21:18:00,29.44
08/19/2016 22:18:00,27.22
08/19/2016 23:18:00,26.67
08/20/2016 00:18:00,26.11
08/20/2016 01:18:00,25.56
08/20/2016 02:18:00,25.56
08/20/2016 03:18:00,25.56
08/20/2016 04:18:00,25.56
08/20/2016 05:18:00,26.11
08/20/2016 06:18:00,25.56
08/20/2016 07:18:00,25
08/20/2016 08:18:00,24.44
08/20/2016 09:18:00,26.11
08/20/2016 10:18:00,27.22
08/20/2016 11:18:00,27.22
