DATETIME,VALUE
08/01/2016 07:18:00,0
08/01/2016 08:18:00,7
08/01/2016 09:18:00,56
08/01/2016 10:18:00,271
08/01/2016 11:18:00,502
08/01/2016 12:18:00,670
08/01/2016 13:18:00,796
08/01/2016 14:18:00,872
08/01/2016 15:18:00,893
08/01/2016 16:18:00,858
08/01/2016 17:18:00,770
08/01/2016 18:18:00,626
08/01/2016 19:18:00,451
08/01/2016 20:18:00,253
08/01/2016 21:18:00,62
08/01/2016 22:18:00,1
08/01/2016 23:18:00,0
08/02/2016 00:18:00,0
08/02/2016 01:18:00,0
08/02/2016 02:18:00,0
08/02/2016 03:18:00,0
08/02/2016 04:18:00,0
08/02/2016 05:18:00,0
08/02/2016 06:18:00,0
08/02/2016 07:18:00,0
08/02/2016 08:18:00,8
08/02/2016 09:18:00,117
08/02/2016 10:18:00,231
08/02/2016 11:18:00,480
08/02/2016 12:18:00,671
08/02/2016 13:18:00,796
08/02/2016 14:18:00,866
08/02/2016 15:18:00,885
08/02/2016 16:18:00,852
08/02/2016 17:18:00,764
08/02/2016 18:18:00,621
08/02/2016 19:18:00,445
08/02/2016 20:18:00,252
08/02/2016 21:18:00,56
08/02/2016 22:18:00,1
08/02/2016 23:18:00,0
08/03/2016 00:18:00,0
08/03/2016 01:18:00,0
08/03/2016 02:18:00,0
08/03/2016 03:18:00,0
08/03/2016 04:18:00,0
08/03/2016 05:18:00,0
08/03/2016 06:18:00,0
08/03/2016 07:18:00,0
08/03/2016 08:18:00,6
08/03/2016 09:18:00,115
08/03/2016 10:18:00,303
08/03/2016 11:18:00,490
08/03/2016 12:18:00,667
08/03/2016 13:18:00,794
08/03/2016 14:18:00,865
08/03/2016 15:18:00,886
08/03/2016 16:18:00,855
08/03/2016 17:18:00,765
08/03/2016 18:18:00,609
08/03/2016 19:18:00,448
08/03/2016 20:18:00,256
08/03/2016 21:18:00,58
08/03/2016 22:18:00,1
08/03/2016 23:18:00,0
08/04/2016 00:18:00,0
08/04/2016 01:18:00,0
08/04/2016 02:18:00,0
08/04/2016 03:18:00,0
08/04/2016 04:18:00,0
08/04/2016 05:18:00,0
08/04/2016 06:18:00,0
08/04/2016 07:18:00,0
08/04/2016 08:18:00,5
08/04/2016 09:18:00,103
08/04/2016 10:18:00,265
08/04/2016 11:18:00,509
08/04/2016 12:18:00,589
08/04/2016 13:18:00,732
08/04/2016 14:18:00,877
08/04/2016 15:18:00,874
08/04/2016 16:18:00,855
08/04/2016 17:18:00,613
08/04/2016 18:18:00,624
08/04/2016 19:18:00,443
08/04/2016 20:18:00,251
08/04/2016 21:18:00,60
08/04/2016 22:18:00,1
08/04/2016 23:18:00,0
08/05/2016 00:18:00,0
08/05/2016 01:18:00,0
08/05/2016 02:18:00,0
08/05/2016 03:18:00,0
08/05/2016 04:18:00,0
08/05/2016 05:18:00,0
08/05/2016 06:18:00,0
08/05/2016 07:18:00,0
08/05/2016 08:18:00,5
08/05/2016 09:18:00,110
08/05/2016 10:18:00,280
08/05/2016 11:18:00,412
08/05/2016 12:18:00,676
08/05/2016 13:18:00,582
08/05/2016 14:18:00,765
08/05/2016 15:18:00,898
08/05/2016 16:18:00,890
08/05/2016 17:18:00,781
08/05/2016 18:18:00,633
08/05/2016 19:18:00,411
08/05/2016 20:18:00,250
08/05/2016 21:18:00,59
08/05/2016 22:18:00,1
08/05/2016 23:18:00,0
08/06/2016 00:18:00,0
08/06/2016 01:18:00,0
08/06/2016 02:18:00,0
08/06/2016 03:18:00,0
08/06/2016 04:18:00,0
08/06/2016 05:18:00,0
08/06/2016 06:18:00,0
08/06/2016 07:18:00,0
08/06/2016 08:18:00,5
08/06/2016 09:18:00,68
08/06/2016 10:18:00,173
08/06/2016 11:18:00,351
08/06/2016 12:18:00,554
08/06/2016 13:18:00,733
08/06/2016 14:18:00,823
08/06/2016 15:18:00,879
08/06/2016 16:18:00,839
08/06/2016 17:18:00,747
08/06/2016 18:18:00,607
08/06/2016 19:18:00,429
08/06/2016 20:18:00,232
08/06/2016 21:18:00,51
08/06/2016 22:18:00,0
08/06/2016 23:18:00,0
08/07/2016 00:18:00,0
08/07/2016 01:18:00,0
08/07/2016 02:18:00,0
08/07/2016 03:18:00,0
08/07/2016 04:18:00,0
08/07/2016 05:18:00,0
08/07/2016 06:18:00,0
08/07/2016 07:18:00,0
08/07/2016 08:18:00,6
08/07/2016 09:18:00,103
08/07/2016 10:18:00,284
08/07/2016 11:18:00,493
08/07/2016 12:18:00,561
08/07/2016 13:18:00,759
08/07/2016 14:18:00,844
08/07/2016 15:18:00,873
08/07/2016 16:18:00,825
08/07/2016 17:18:00,749
08/07/2016 18:18:00,608
08/07/2016 19:18:00,431
08/07/2016 20:18:00,239
08/07/2016 21:18:00,52
08/07/2016 22:18:00,0
08/07/2016 23:18:00,0
08/08/2016 00:18:00,0
08/08/2016 01:18:00,0
08/08/2016 02:18:00,0
08/08/2016 03:18:00,0
08/08/2016 04:18:00,0
08/08/2016 05:18:00,0
08/08/2016 06:18:00,0
08/08/2016 07:18:00,0
08/08/2016 08:18:00,5
08/08/2016 09:18:00,100
08/08/2016 10:18:00,221
08/08/2016 11:18:00,445
08/08/2016 12:18:00,625
08/08/2016 13:18:00,782
08/08/2016 14:18:00,846
08/08/2016 15:18:00,877
08/08/2016 16:18:00,852
08/08/2016 17:18:00,721
08/08/2016 18:18:00,608
08/08/2016 19:18:00,432
08/08/2016 20:18:00,240
08/08/2016 21:18:00,51
08/08/2016 22:18:00,0
08/08/2016 23:18:00,0
08/09/2016 00:18:00,0
08/09/2016 01:18:00,0
08/09/2016 02:18:00,0
08/09/2016 03:18:00,0
08/09/2016 04:18:00,0
08/09/2016 05:18:00,0
08/09/2016 06:18:00,0
08/09/2016 07:18:00,0
08/09/2016 08:18:00,9
08/09/2016 09:18:00,83
08/09/2016 10:18:00,246
08/09/2016 11:18:00,451
08/09/2016 12:18:00,623
08/09/2016 13:18:00,729
08/09/2016 14:18:00,726
08/09/2016 15:18:00,946
08/09/2016 16:18:00,914
08/09/2016 17:18:00,711
08/09/2016 18:18:00,593
08/09/2016 19:18:00,422
08/09/2016 20:18:00,241
08/09/2016 21:18:00,52
08/09/2016 22:18:00,0
08/09/2016 23:18:00,0
08/10/2016 00:18:00,0
08/10/2016 01:18:00,0
08/10/2016 02:18:00,0
08/10/2016 03:18:00,0
08/10/2016 04:18:00,0
08/10/2016 05:18:00,0
08/10/2016 06:18:00,0
08/10/2016 07:18:00,0
08/10/2016 08:18:00,4
08/10/2016 09:18:00,93
08/10/2016 10:18:00,255
08/10/2016 11:18:00,278
08/10/2016 12:18:00,540
08/10/2016 13:18:00,696
