;Date	Time	CMS/length
08/03/2016	17:10:12	0.000123602900164609
08/03/2016	17:25:12	0.000122277797281398
08/03/2016	17:40:12	0.000121537056541577
08/03/2016	17:55:12	0.000117271255542476
08/03/2016	18:10:12	0.000113528088296049
08/03/2016	18:25:12	0.000114355248817149
08/03/2016	18:40:12	0.000115645371751958
08/03/2016	18:55:12	0.000113282862954761
08/03/2016	19:10:12	0.000106643918999301
08/03/2016	19:25:12	0.000100354769545687
08/03/2016	19:40:12	0.000103130488790891
08/03/2016	19:55:12	0.000106202503393347
08/03/2016	20:10:12	0.000101376663689693
08/03/2016	20:25:12	9.67833344123216e-05
08/03/2016	20:40:12	9.6476381202253e-05
08/03/2016	20:55:12	9.63525555417571e-05
08/03/2016	21:10:12	9.63851069775746e-05
08/03/2016	21:25:12	9.65493471835118e-05
08/03/2016	21:40:12	9.27481993826065e-05
08/03/2016	21:55:12	9.31182008789022e-05
08/03/2016	22:10:12	9.35622745589741e-05
08/03/2016	22:25:12	9.40660189939643e-05
08/03/2016	22:40:12	9.46150347455536e-05
08/03/2016	22:55:12	9.11142988955436e-05
08/03/2016	23:10:12	8.76279643963435e-05
08/03/2016	23:25:12	8.82284162336154e-05
08/03/2016	23:40:12	8.88288704205142e-05
08/03/2016	23:55:12	8.94231516032916e-05
08/04/2016	00:10:12	9.00030296287009e-05
08/04/2016	00:25:12	8.64817181868062e-05
08/04/2016	00:40:12	8.70183863342466e-05
08/04/2016	00:55:12	8.75283055091136e-05
08/04/2016	01:10:12	8.80073605109631e-05
08/04/2016	01:25:12	8.84534936764041e-05
08/04/2016	01:40:12	8.88667023331673e-05
08/04/2016	01:55:12	8.98234702305943e-05
08/04/2016	02:10:12	8.66543574863375e-05
08/04/2016	02:25:12	8.69358815911058e-05
08/04/2016	02:40:12	9.12445200416004e-05
08/04/2016	02:55:12	9.14128754167539e-05
08/04/2016	03:10:12	8.80194836852362e-05
08/04/2016	03:25:12	8.86305725542206e-05
08/04/2016	03:40:12	9.26573215217347e-05
08/04/2016	03:55:12	9.25211501347405e-05
08/04/2016	04:10:12	9.22903285594388e-05
08/04/2016	04:25:12	9.60351804074696e-05
08/04/2016	04:40:12	9.55883094168207e-05
08/04/2016	04:55:12	9.5013866774056e-05
08/04/2016	05:10:12	9.83760029021185e-05
08/04/2016	05:25:12	9.80796880432256e-05
08/04/2016	05:40:12	9.75981880025279e-05
08/04/2016	05:55:12	0.00010039859944608
08/04/2016	06:10:12	0.000102947982062029
08/04/2016	06:25:12	0.000105203125982043
08/04/2016	06:40:12	0.000110606440271795
08/04/2016	06:55:12	0.000115596174275588
08/04/2016	07:10:12	0.000120676789865504
08/04/2016	07:25:12	0.000129253659082185
08/04/2016	07:40:12	0.000133060616572181
08/04/2016	07:55:12	0.000139552776865685
08/04/2016	08:10:12	0.000149185219130987
08/04/2016	08:25:12	0.000157743591815426
08/04/2016	08:40:12	0.000165096208830846
08/04/2016	08:55:12	0.000171708431719629
08/04/2016	09:10:12	0.000180979448195078
08/04/2016	09:25:12	0.000188775155956413
08/04/2016	09:40:12	0.000195087330424746
08/04/2016	09:55:12	0.000199963290932882
08/04/2016	10:10:12	0.000199435596639159
08/04/2016	10:25:12	0.000202416842237412
08/04/2016	10:40:12	0.000204465989327957
08/04/2016	10:55:12	0.000201765796236113
08/04/2016	11:10:12	0.000203344090289659
08/04/2016	11:25:12	0.000200170646563452
08/04/2016	11:40:12	0.000197194733760795
08/04/2016	11:55:12	0.000195260320085165
08/04/2016	12:10:12	0.000189349882326107
08/04/2016	12:25:12	0.000179644498469442
08/04/2016	12:40:12	0.000171525881154275
08/04/2016	12:55:12	0.000169171337679627
08/04/2016	13:10:12	0.000167394636832717
08/04/2016	13:25:12	0.000162143977592905
08/04/2016	13:40:12	0.000153995830108019
08/04/2016	13:55:12	0.000147006118795021
08/04/2016	14:10:12	0.000145805180148626
08/04/2016	14:25:12	0.000141023287770221
08/04/2016	14:40:12	0.000132609001302696
08/04/2016	14:55:12	0.000129829166485766
08/04/2016	15:10:12	0.00012796291189188
08/04/2016	15:25:12	0.000122872008516897
08/04/2016	15:40:12	0.000118571228571248
08/04/2016	15:55:12	0.000114418250099371
08/04/2016	16:10:12	0.000110936053498239
08/04/2016	16:25:12	0.00010806908319767
08/04/2016	16:40:12	0.000105765898877278
08/04/2016	16:55:12	0.000104555653783611
08/04/2016	17:10:12	9.91451046141576e-05
08/04/2016	17:25:12	9.82308091065384e-05
08/04/2016	17:40:12	9.82777655914466e-05
08/04/2016	17:55:12	9.86601026580214e-05
08/04/2016	18:10:12	9.46754793167401e-05
08/04/2016	18:25:12	9.09480679395885e-05
08/04/2016	18:40:12	9.15193690174743e-05
08/04/2016	18:55:12	8.82014122780352e-05
08/04/2016	19:10:12	8.97051478247938e-05
08/04/2016	19:25:12	9.07641031744796e-05
08/04/2016	19:40:12	9.19403436895687e-05
08/04/2016	19:55:12	8.97153261606658e-05
08/04/2016	20:10:12	8.756438111691e-05
08/04/2016	20:25:12	8.89669478307547e-05
08/04/2016	20:40:12	8.63362450783977e-05
08/04/2016	20:55:12	8.4314941154566e-05
08/04/2016	21:10:12	8.23059729207431e-05
08/04/2016	21:25:12	8.03011303333054e-05
08/04/2016	21:40:12	8.23707099046483e-05
08/04/2016	21:55:12	8.44300014029047e-05
08/04/2016	22:10:12	8.23922369829218e-05
08/04/2016	22:25:12	8.0325655546226e-05
08/04/2016	22:40:12	7.82241054842548e-05
08/04/2016	22:55:12	8.01619972671795e-05
08/04/2016	23:10:12	8.2054621657653e-05
08/04/2016	23:25:12	7.9817269248665e-05
08/04/2016	23:40:12	8.16049661958829e-05
08/04/2016	23:55:12	8.33350499373766e-05
08/05/2016	00:10:12	8.09248470728971e-05
08/05/2016	00:25:12	8.25314625676159e-05
08/05/2016	00:40:12	8.40763496330549e-05
08/05/2016	00:55:12	8.14789154445568e-05
08/05/2016	01:10:12	7.88094648268416e-05
08/05/2016	01:25:12	8.01486020593559e-05
08/05/2016	01:40:12	8.55025114884574e-05
08/05/2016	01:55:12	8.72926006390367e-05
08/05/2016	02:10:12	8.49341847293077e-05
08/05/2016	02:25:12	8.19169875519306e-05
08/05/2016	02:40:12	7.93980655236432e-05
08/05/2016	02:55:12	8.08713046638684e-05
08/05/2016	03:10:12	8.5756078129312e-05
08/05/2016	03:25:12	8.64758612010063e-05
08/05/2016	03:40:12	8.30183456189012e-05
08/05/2016	03:55:12	8.00364963602885e-05
08/05/2016	04:10:12	8.10261969870814e-05
08/05/2016	04:25:12	8.89006828413663e-05
08/05/2016	04:40:12	9.3172276665969e-05
08/05/2016	04:55:12	8.97562717039115e-05
08/05/2016	05:10:12	8.97229808874411e-05
08/05/2016	05:25:12	9.36571126666675e-05
08/05/2016	05:40:12	9.39801355833993e-05
08/05/2016	05:55:12	9.01052700689691e-05
08/05/2016	06:10:12	8.96028434300696e-05
08/05/2016	06:25:12	9.30555182238926e-05
08/05/2016	06:40:12	9.28847139369909e-05
08/05/2016	06:55:12	9.25801647872464e-05
08/05/2016	07:10:12	9.56336626003519e-05
08/05/2016	07:25:12	9.85431274640289e-05
08/05/2016	07:40:12	0.000101300328931742
08/05/2016	07:55:12	9.98102621242314e-05
08/05/2016	08:10:12	9.81349958702289e-05
08/05/2016	08:25:12	0.000100332512255489
08/05/2016	08:40:12	0.00010229959016829
08/05/2016	08:55:12	0.000108092139819222
08/05/2016	09:10:12	0.000113598681185799
08/05/2016	09:25:12	0.000114699503790838
08/05/2016	09:40:12	0.00011542378311483
08/05/2016	09:55:12	0.000119215985859544
08/05/2016	10:10:12	0.000122522606844745
08/05/2016	10:25:12	0.000125856321214159
08/05/2016	10:40:12	0.000132064515414255
08/05/2016	10:55:12	0.000137583411245887
08/05/2016	11:10:12	0.00014234511825258
08/05/2016	11:25:12	0.000146287910596919
08/05/2016	11:40:12	0.000153442990486421
08/05/2016	11:55:12	0.000159707108429023
08/05/2016	12:10:12	0.000165072064875073
08/05/2016	12:25:12	0.000169554305280569
08/05/2016	12:40:12	0.000169705263699025
08/05/2016	12:55:12	0.000173177562940502
08/05/2016	13:10:12	0.000171916983363925
08/05/2016	13:25:12	0.000170129654788373
08/05/2016	13:40:12	0.000172044325286413
08/05/2016	13:55:12	0.000169666478502868
08/05/2016	14:10:12	0.000167235117643381
08/05/2016	14:25:12	0.000164912794085343
08/05/2016	14:40:12	0.000162855919166579
08/05/2016	14:55:12	0.000161200279035531
08/05/2016	15:10:12	0.000160063140741953
08/05/2016	15:25:12	0.000155460629841842
08/05/2016	15:40:12	0.000151543321068896
08/05/2016	15:55:12	0.000148360563427212
08/05/2016	16:10:12	0.000141860581657904
08/05/2016	16:25:12	0.000136126014794553
08/05/2016	16:40:12	0.000131152747572007
08/05/2016	16:55:12	0.000131009084550313
08/05/2016	17:10:12	0.000131593816575997
08/05/2016	17:25:12	0.00012879750357142
08/05/2016	17:40:12	0.000122581086148612
08/05/2016	17:55:12	0.0001169819702859
08/05/2016	18:10:12	0.000116045757088606
08/05/2016	18:25:12	0.000115656868942199
08/05/2016	18:40:12	0.000111697652987472
08/05/2016	18:55:12	0.000108207554598112
08/05/2016	19:10:12	0.000105147515513609
08/05/2016	19:25:12	0.000102486671519322
08/05/2016	19:40:12	0.000104270622645407
08/05/2016	19:55:12	0.000102307291245217
08/05/2016	20:10:12	9.65616978784645e-05
08/05/2016	20:25:12	9.51621524002715e-05
08/05/2016	20:40:12	9.80839445937163e-05
08/05/2016	20:55:12	9.30646885620177e-05
08/05/2016	21:10:12	8.82326941738408e-05
08/05/2016	21:25:12	9.17265216106959e-05
08/05/2016	21:40:12	9.12940541682615e-05
08/05/2016	21:55:12	9.09973698936169e-05
08/05/2016	22:10:12	9.08221040678155e-05
08/05/2016	22:25:12	8.66691223113513e-05
08/05/2016	22:40:12	8.26004833955742e-05
08/05/2016	22:55:12	8.26824191649508e-05
08/05/2016	23:10:12	8.69087370384789e-05
08/05/2016	23:25:12	8.71141295330397e-05
08/05/2016	23:40:12	8.32800781604e-05
08/05/2016	23:55:12	7.94706984172576e-05
08/06/2016	00:10:12	7.97563377794996e-05
08/06/2016	00:25:12	8.41308031936974e-05
08/06/2016	00:40:12	8.44308458177202e-05
08/06/2016	00:55:12	8.47226607492268e-05
08/06/2016	01:10:12	8.55806631845689e-05
08/06/2016	01:25:12	8.23354334779479e-05
08/06/2016	01:40:12	8.25531715224928e-05
08/06/2016	01:55:12	8.2731814926145e-05
08/06/2016	02:10:12	8.28631331887666e-05
08/06/2016	02:25:12	8.35215470642574e-05
08/06/2016	02:40:12	8.41223477859937e-05
08/06/2016	02:55:12	8.81573060464912e-05
08/06/2016	03:10:12	8.80396530733165e-05
08/06/2016	03:25:12	8.78438318681983e-05
08/06/2016	03:40:12	9.16421856448866e-05
08/06/2016	03:55:12	9.53520620502147e-05
08/06/2016	04:10:12	9.89713818713444e-05
08/06/2016	04:25:12	9.84113420073813e-05
08/06/2016	04:40:12	9.77422702346361e-05
08/06/2016	04:55:12	0.000101034432364134
08/06/2016	05:10:12	0.000100705191757944
08/06/2016	05:25:12	0.000100233994560998
08/06/2016	05:40:12	0.000103098191800691
08/06/2016	05:55:12	0.000105783376613991
08/06/2016	06:10:12	0.00010825454729373
08/06/2016	06:25:12	0.000110472653761544
08/06/2016	06:40:12	0.000112388332462329
08/06/2016	06:55:12	0.000113931560853458
08/06/2016	07:10:12	0.000118517982658578
08/06/2016	07:25:12	0.000126641810076626
08/06/2016	07:40:12	0.000134696044380067
08/06/2016	07:55:12	0.000141385734228536
08/06/2016	08:10:12	0.000147153636062419
08/06/2016	08:25:12	0.000155925998746135
08/06/2016	08:40:12	0.000163467908719195
08/06/2016	08:55:12	0.00017022006464378
08/06/2016	09:10:12	0.000183639578374996
08/06/2016	09:25:12	0.000191406483221372
08/06/2016	09:40:12	0.000193494030172554
08/06/2016	09:55:12	0.000202178975921957
08/06/2016	10:10:12	0.000205343000701528
08/06/2016	10:25:12	0.000207838648128084
08/06/2016	10:40:12	0.000213414888154189
08/06/2016	10:55:12	0.000210136529283156
08/06/2016	11:10:12	0.000207062221482761
08/06/2016	11:25:12	0.000203349687094157
08/06/2016	11:40:12	0.000199892269536918
08/06/2016	11:55:12	0.00019754836431249
08/06/2016	12:10:12	0.000191306652243267
08/06/2016	12:25:12	0.00018601761528684
08/06/2016	12:40:12	0.000182403822373333
08/06/2016	12:55:12	0.00017531606301169
08/06/2016	13:10:12	0.000168890508444677
08/06/2016	13:25:12	0.000163730386033159
08/06/2016	13:40:12	0.000155750964650097
08/06/2016	13:55:12	0.000153671435685135
08/06/2016	14:10:12	0.000152795610357579
08/06/2016	14:25:12	0.000143745514300292
08/06/2016	14:40:12	0.000135779780251548
08/06/2016	14:55:12	0.000133497889212247
08/06/2016	15:10:12	0.00013216864735596
08/06/2016	15:25:12	0.0001276374159339
08/06/2016	15:40:12	0.000123912764922926
08/06/2016	15:55:12	0.000120340034314418
08/06/2016	16:10:12	0.000117431942019429
08/06/2016	16:25:12	0.000115122585636115
08/06/2016	16:40:12	0.000109269650366118
08/06/2016	16:55:12	0.000108561463493302
08/06/2016	17:10:12	0.000107704781696482
08/06/2016	17:25:12	0.000103150200030454
08/06/2016	17:40:12	9.89289516430749e-05
08/06/2016	17:55:12	9.50019418448174e-05
08/06/2016	18:10:12	9.59974582254509e-05
08/06/2016	18:25:12	9.66346032294507e-05
08/06/2016	18:40:12	9.33845479482348e-05
08/06/2016	18:55:12	9.0292928820371e-05
08/06/2016	19:10:12	8.73309393198601e-05
08/06/2016	19:25:12	8.91433278495631e-05
08/06/2016	19:40:12	9.51268671375834e-05
08/06/2016	19:55:12	9.24426552920539e-05
08/06/2016	20:10:12	8.98139989365653e-05
08/06/2016	20:25:12	9.18876767145624e-05
08/06/2016	20:40:12	8.9911630359759e-05
08/06/2016	20:55:12	8.79520723383552e-05
08/06/2016	21:10:12	8.59986596522924e-05
08/06/2016	21:25:12	8.40431893830466e-05
08/06/2016	21:40:12	8.61621341667749e-05
08/06/2016	21:55:12	8.82769916058191e-05
08/06/2016	22:10:12	8.63030306851988e-05
08/06/2016	22:25:12	8.43125809145206e-05
08/06/2016	22:40:12	8.22994973890984e-05
08/06/2016	22:55:12	8.43381946885845e-05
08/06/2016	23:10:12	8.63480853453676e-05
08/06/2016	23:25:12	8.42403800030779e-05
08/06/2016	23:40:12	8.20832919679192e-05
08/06/2016	23:55:12	8.39512356993438e-05
08/07/2016	00:10:12	8.5755393397243e-05
08/07/2016	00:25:12	8.34069188328992e-05
08/07/2016	00:40:12	8.50588131302819e-05
08/07/2016	00:55:12	8.66263452569788e-05
08/07/2016	01:10:12	8.46012625328132e-05
08/07/2016	01:25:12	8.24691838772389e-05
08/07/2016	01:40:12	8.37198435325366e-05
08/07/2016	01:55:12	8.89358631344042e-05
08/07/2016	02:10:12	8.99478395950283e-05
08/07/2016	02:25:12	8.73240462720527e-05
08/07/2016	02:40:12	8.8630608019307e-05
08/07/2016	02:55:12	9.32663846242114e-05
08/07/2016	03:10:12	9.36363855867788e-05
08/07/2016	03:25:12	9.37923947146061e-05
08/07/2016	03:40:12	9.77779907169424e-05
08/07/2016	03:55:12	0.00010146729027588
08/07/2016	04:10:12	0.000104802710562294
08/07/2016	04:25:12	0.000111790732513639
08/07/2016	04:40:12	0.000118256090062128
08/07/2016	04:55:12	0.00012349890874033
08/07/2016	05:10:12	0.000132036334562778
08/07/2016	05:25:12	0.000140199647278978
08/07/2016	05:40:12	0.000150698346223944
08/07/2016	05:55:12	0.000163882572258394
08/07/2016	06:10:12	0.000176007530885587
08/07/2016	06:25:12	0.00018623125440346
08/07/2016	06:40:12	0.000198389471687348
08/07/2016	06:55:12	0.000208208182480549
08/07/2016	07:10:12	0.000215578338157706
08/07/2016	07:25:12	0.000225173489527201
08/07/2016	07:40:12	0.000233647926746527
08/07/2016	07:55:12	0.000236052037304772
08/07/2016	08:10:12	0.000236305605783517
08/07/2016	08:25:12	0.00023609243963055
08/07/2016	08:40:12	0.000235974235251927
08/07/2016	08:55:12	0.000231262760541444
08/07/2016	09:10:12	0.000222453863419517
08/07/2016	09:25:12	0.000214624395822258
08/07/2016	09:40:12	0.000208690332473719
08/07/2016	09:55:12	0.000204307710028553
08/07/2016	10:10:12	0.000196963466648947
08/07/2016	10:25:12	0.000191392848945162
08/07/2016	10:40:12	0.000182955334905816
08/07/2016	10:55:12	0.000176291445874313
08/07/2016	11:10:12	0.000171343568748569
08/07/2016	11:25:12	0.000163374437075722
08/07/2016	11:40:12	0.000156956745462331
08/07/2016	11:55:12	0.000151995843748168
08/07/2016	12:10:12	0.000148390908844662
08/07/2016	12:25:12	0.000141373735481635
08/07/2016	12:40:12	0.000135504710020633
08/07/2016	12:55:12	0.000135346276417104
08/07/2016	13:10:12	0.000131481365721723
08/07/2016	13:25:12	0.000128484767549126
08/07/2016	13:40:12	0.000126270062155448
08/07/2016	13:55:12	0.000120089620452396
08/07/2016	14:10:12	0.000119191787114448
08/07/2016	14:25:12	0.000118849509141147
08/07/2016	14:40:12	0.000114329560729733
08/07/2016	14:55:12	0.00011022730761324
08/07/2016	15:10:12	0.000106487194276376
08/07/2016	15:25:12	0.000107718989820677
08/07/2016	15:40:12	0.000109798829096216
08/07/2016	15:55:12	0.000107437662862098
08/07/2016	16:10:12	0.000104670839509998
08/07/2016	16:25:12	0.000102045951961241
08/07/2016	16:40:12	0.000100114826628022
08/07/2016	16:55:12	0.000102931290392287
08/07/2016	17:10:12	0.00010056566190091
08/07/2016	17:25:12	9.82391328891606e-05
08/07/2016	17:40:12	0.000101183168212134
08/07/2016	17:55:12	9.94763223209292e-05
08/07/2016	18:10:12	9.77654016124788e-05
08/07/2016	18:25:12	9.60338997294629e-05
08/07/2016	18:40:12	9.42673830791905e-05
08/07/2016	18:55:12	9.24576565216758e-05
08/07/2016	19:10:12	9.46729544423518e-05
08/07/2016	19:25:12	9.74174004304012e-05
08/07/2016	19:40:12	0.000100106326502493
08/07/2016	19:55:12	9.80682458084007e-05
08/07/2016	20:10:12	9.18795905556991e-05
08/07/2016	20:25:12	8.96953783422168e-05
08/07/2016	20:40:12	9.15176715389228e-05
08/07/2016	20:55:12	9.38506357725024e-05
08/07/2016	21:10:12	9.20289464755468e-05
08/07/2016	21:25:12	9.01290315380635e-05
08/07/2016	21:40:12	9.22294854682623e-05
08/07/2016	21:55:12	9.42496924649894e-05
08/07/2016	22:10:12	9.21049215125508e-05
08/07/2016	22:25:12	8.98675579269556e-05
08/07/2016	22:40:12	9.16141023251935e-05
08/07/2016	22:55:12	9.32598236837746e-05
08/07/2016	23:10:12	9.07179332891438e-05
08/07/2016	23:25:12	9.21414323593904e-05
08/07/2016	23:40:12	9.34455898690933e-05
08/07/2016	23:55:12	9.05436171024433e-05
08/08/2016	00:10:12	9.15864576495296e-05
08/08/2016	00:25:12	9.24832076620963e-05
08/08/2016	00:40:12	9.32256366261621e-05
08/08/2016	00:55:12	9.78819767956723e-05
08/08/2016	01:10:12	9.82725537808584e-05
08/08/2016	01:25:12	9.84512343589292e-05
08/08/2016	01:40:12	0.000102463579175721
08/08/2016	01:55:12	0.00010619197322486
08/08/2016	02:10:12	0.000109582918459146
08/08/2016	02:25:12	0.000112562340781625
08/08/2016	02:40:12	0.000119122378603715
08/08/2016	02:55:12	0.000129158054968932
08/08/2016	03:10:12	0.000134376528006498
08/08/2016	03:25:12	0.000138685573947811
08/08/2016	03:40:12	0.000145966181766158
08/08/2016	03:55:12	0.000155994071389764
08/08/2016	04:10:12	0.000168518175113834
08/08/2016	04:25:12	0.000183275117935092
08/08/2016	04:40:12	0.000196499523900345
08/08/2016	04:55:12	0.000207952710154372
08/08/2016	05:10:12	0.00022095145391082
08/08/2016	05:25:12	0.000227244112544559
08/08/2016	05:40:12	0.000231528927380779
08/08/2016	05:55:12	0.00023807161543949
08/08/2016	06:10:12	0.000242552576586424
08/08/2016	06:25:12	0.000246021540491473
08/08/2016	06:40:12	0.000244366680596925
08/08/2016	06:55:12	0.000242259101906213
08/08/2016	07:10:12	0.000240279096814083
08/08/2016	07:25:12	0.00023429019293876
08/08/2016	07:40:12	0.000229393882799348
08/08/2016	07:55:12	0.000221270566646974
08/08/2016	08:10:12	0.000215417098874844
08/08/2016	08:25:12	0.000210828670593773
08/08/2016	08:40:12	0.000204089713882244
08/08/2016	08:55:12	0.000195214644019578
08/08/2016	09:10:12	0.000188253154438823
08/08/2016	09:25:12	0.000188974026709824
08/08/2016	09:40:12	0.000185635876486584
08/08/2016	09:55:12	0.000178131766418945
08/08/2016	10:10:12	0.000172174981074898
08/08/2016	10:25:12	0.000167656467013528
08/08/2016	10:40:12	0.000164467170719417
08/08/2016	10:55:12	0.00016250003690444
08/08/2016	11:10:12	0.000155821676783838
08/08/2016	11:25:12	0.000150163951903793
08/08/2016	11:40:12	0.000151266835440544
08/08/2016	11:55:12	0.000147382713113415
08/08/2016	12:10:12	0.000138421050009945
08/08/2016	12:25:12	0.000135960753431748
08/08/2016	12:40:12	0.000135855448141102
08/08/2016	12:55:12	0.000136293340306677
08/08/2016	13:10:12	0.000136045317585819
08/08/2016	13:25:12	0.000131555941146508
08/08/2016	13:40:12	0.00012801958021226
08/08/2016	13:55:12	0.000129467376610714
08/08/2016	14:10:12	0.000126533847615754
08/08/2016	14:25:12	0.000123843116693029
08/08/2016	14:40:12	0.000121358147183621
08/08/2016	14:55:12	0.000119050132134361
08/08/2016	15:10:12	0.000121557598299541
08/08/2016	15:25:12	0.000119533533575246
08/08/2016	15:40:12	0.000117612398937451
08/08/2016	15:55:12	0.000115773568918481
08/08/2016	16:10:12	0.000113998475500878
08/08/2016	16:25:12	0.00011226864948004
08/08/2016	16:40:12	0.000110569687605958
08/08/2016	16:55:12	0.000108887186628671
08/08/2016	17:10:12	0.000107206743185173
08/08/2016	17:25:12	0.000105518069251953
08/08/2016	17:40:12	0.000104393527978413
08/08/2016	17:55:12	0.000103240180062906
08/08/2016	18:10:12	0.000106132418053004
08/08/2016	18:25:12	0.000108987618868917
08/08/2016	18:40:12	0.000107138501473564
