;Date	Time	Flow(CMS)
08/01/2016	00:00:00	6.088122105
08/01/2016	00:05:00	6.031488411
08/01/2016	00:10:00	5.94653787
08/01/2016	00:15:00	5.889904176
08/01/2016	00:20:00	5.804953635
08/01/2016	00:25:00	5.748319941
08/01/2016	00:30:00	5.748319941
08/01/2016	00:35:00	5.6633694
08/01/2016	00:40:00	5.606735706
08/01/2016	00:45:00	5.550102012
08/01/2016	00:50:00	5.550102012
08/01/2016	00:55:00	5.465151471
08/01/2016	01:00:00	5.465151471
08/01/2016	01:05:00	5.408517777
08/01/2016	01:10:00	5.408517777
08/01/2016	01:15:00	5.323567236
08/01/2016	01:20:00	5.323567236
08/01/2016	01:25:00	5.266933542
08/01/2016	01:30:00	5.266933542
08/01/2016	01:35:00	5.210299848
08/01/2016	01:40:00	5.210299848
08/01/2016	01:45:00	5.125349307
08/01/2016	01:50:00	5.125349307
08/01/2016	01:55:00	5.068715613
08/01/2016	02:00:00	5.068715613
08/01/2016	02:05:00	5.012081919
08/01/2016	02:10:00	5.012081919
08/01/2016	02:15:00	5.012081919
08/01/2016	02:20:00	4.955448225
08/01/2016	02:25:00	4.955448225
08/01/2016	02:30:00	4.955448225
08/01/2016	02:35:00	4.870497684
08/01/2016	02:40:00	4.870497684
08/01/2016	02:45:00	4.870497684
08/01/2016	02:50:00	4.81386399
08/01/2016	02:55:00	4.81386399
08/01/2016	03:00:00	4.81386399
08/01/2016	03:05:00	4.81386399
08/01/2016	03:10:00	4.757230296
08/01/2016	03:15:00	4.757230296
08/01/2016	03:20:00	4.757230296
08/01/2016	03:25:00	4.757230296
08/01/2016	03:30:00	4.700596602
08/01/2016	03:35:00	4.700596602
08/01/2016	03:40:00	4.700596602
08/01/2016	03:45:00	4.700596602
08/01/2016	03:50:00	4.643962908
08/01/2016	03:55:00	4.643962908
08/01/2016	04:00:00	4.643962908
08/01/2016	04:05:00	4.643962908
08/01/2016	04:10:00	4.643962908
08/01/2016	04:15:00	4.643962908
08/01/2016	04:20:00	4.643962908
08/01/2016	04:25:00	4.643962908
08/01/2016	04:30:00	4.559012367
08/01/2016	04:35:00	4.559012367
08/01/2016	04:40:00	4.559012367
08/01/2016	04:45:00	4.559012367
08/01/2016	04:50:00	4.559012367
08/01/2016	04:55:00	4.445744979
08/01/2016	05:00:00	4.445744979
08/01/2016	05:05:00	4.445744979
08/01/2016	05:10:00	4.445744979
08/01/2016	05:15:00	4.445744979
08/01/2016	05:20:00	4.445744979
08/01/2016	05:25:00	4.445744979
08/01/2016	05:30:00	4.445744979
08/01/2016	05:35:00	4.445744979
08/01/2016	05:40:00	4.445744979
08/01/2016	05:45:00	4.445744979
08/01/2016	05:50:00	4.445744979
08/01/2016	05:55:00	4.445744979
08/01/2016	06:00:00	4.445744979
08/01/2016	06:05:00	4.445744979
08/01/2016	06:10:00	4.445744979
08/01/2016	06:15:00	4.445744979
08/01/2016	06:20:00	4.445744979
08/01/2016	06:25:00	4.502378673
08/01/2016	06:30:00	4.502378673
08/01/2016	06:35:00	4.502378673
08/01/2016	06:40:00	4.502378673
08/01/2016	06:45:00	4.502378673
08/01/2016	06:50:00	4.502378673
08/01/2016	06:55:00	4.502378673
08/01/2016	07:00:00	4.502378673
08/01/2016	07:05:00	4.502378673
08/01/2016	07:10:00	4.559012367
08/01/2016	07:15:00	4.559012367
08/01/2016	07:20:00	4.559012367
08/01/2016	07:25:00	4.559012367
08/01/2016	07:30:00	4.643962908
08/01/2016	07:35:00	4.643962908
08/01/2016	07:40:00	4.643962908
08/01/2016	07:45:00	4.700596602
08/01/2016	07:50:00	4.700596602
08/01/2016	07:55:00	4.757230296
08/01/2016	08:00:00	4.757230296
08/01/2016	08:05:00	4.81386399
08/01/2016	08:10:00	4.81386399
08/01/2016	08:15:00	4.870497684
08/01/2016	08:20:00	4.955448225
08/01/2016	08:25:00	4.955448225
08/01/2016	08:30:00	5.012081919
08/01/2016	08:35:00	5.068715613
08/01/2016	08:40:00	5.125349307
08/01/2016	08:45:00	5.210299848
08/01/2016	08:50:00	5.210299848
08/01/2016	08:55:00	5.266933542
08/01/2016	09:00:00	5.323567236
08/01/2016	09:05:00	5.408517777
08/01/2016	09:10:00	5.465151471
08/01/2016	09:15:00	5.606735706
08/01/2016	09:20:00	5.606735706
08/01/2016	09:25:00	5.6633694
08/01/2016	09:30:00	5.804953635
08/01/2016	09:35:00	5.804953635
