;Date	Time	Flow(CMS)
08/04/2016	14:35:25	-0.0232572852533138
08/04/2016	14:50:25	-0.0219181248343201
08/04/2016	15:05:25	-0.0196698490577456
08/04/2016	15:20:25	-0.016980806237302
08/04/2016	15:35:25	-0.0151016021548116
08/04/2016	15:50:25	-0.0134636864810052
08/04/2016	16:05:25	-0.013080804237742
08/04/2016	16:20:25	-0.015438706897349
08/04/2016	16:35:25	-0.0197881709654262
08/04/2016	16:50:25	-0.0256212547447801
08/04/2016	17:05:25	-0.0318881543740107
08/04/2016	17:20:25	-0.0380941210254454
08/04/2016	17:35:25	-0.0441470803653373
08/04/2016	17:50:25	-0.0487091448143205
08/04/2016	18:05:25	-0.0523692266304834
08/04/2016	18:20:25	-0.0547017529102932
08/04/2016	18:35:25	-0.0559064194084889
08/04/2016	18:50:25	-0.056726498355834
08/04/2016	19:05:25	-0.0562004810790616
08/04/2016	19:20:25	-0.0562015071769212
08/04/2016	19:35:25	-0.0556890438395399
08/04/2016	19:50:25	-0.0535994438980939
08/04/2016	20:05:25	-0.0517615118035508
08/04/2016	20:20:25	-0.0508393263608659
08/04/2016	20:35:25	-0.0497235927559531
08/04/2016	20:50:25	-0.0478746189468729
08/04/2016	21:05:25	-0.0464910967282587
08/04/2016	21:20:25	-0.0450305952086218
08/04/2016	21:35:25	-0.0435127155123073
08/04/2016	21:50:25	-0.0419633110599164
08/04/2016	22:05:25	-0.0409614303296481
08/04/2016	22:20:25	-0.0399577898190454
08/04/2016	22:35:25	-0.0383888911526496
08/04/2016	22:50:25	-0.0373920058725513
08/04/2016	23:05:25	-0.0364126228133871
08/04/2016	23:20:25	-0.0354596371519262
08/04/2016	23:35:25	-0.0345429716217889
08/04/2016	23:50:25	-0.0342103107928386
08/05/2016	00:05:25	-0.0339301005777004
08/05/2016	00:20:25	-0.0331657999268622
08/05/2016	00:35:25	-0.0319282011053226
08/05/2016	00:50:25	-0.0307386497040422
08/05/2016	01:05:25	-0.0301206441219355
08/05/2016	01:20:25	-0.0300661778938743
08/05/2016	01:35:25	-0.0300612790382399
08/05/2016	01:50:25	-0.0295921192833724
08/05/2016	02:05:25	-0.0291717908632247
08/05/2016	02:20:25	-0.0292870075405881
08/05/2016	02:35:25	-0.0289564732399413
08/05/2016	02:50:25	-0.0286672487247578
08/05/2016	03:05:25	-0.0289210981154985
08/05/2016	03:20:25	-0.0292190954503519
08/05/2016	03:35:25	-0.02910041184326
08/05/2016	03:50:25	-0.0285524373043401
08/05/2016	04:05:25	-0.0280399466163636
08/05/2016	04:20:25	-0.0275571255453756
08/05/2016	04:35:25	-0.0280311514306058
08/05/2016	04:50:25	-0.0285359269829912
08/05/2016	05:05:25	-0.0281614215692379
08/05/2016	05:20:25	-0.0278142396781032
08/05/2016	05:35:25	-0.0274971164119648
08/05/2016	05:50:25	-0.0276518307732321
08/05/2016	06:05:25	-0.0278433486274554
08/05/2016	06:20:25	-0.027622370937654
08/05/2016	06:35:25	-0.0270056554263188
08/05/2016	06:50:25	-0.0268703590681241
08/05/2016	07:05:25	-0.0272083665326686
08/05/2016	07:20:25	-0.026686665687655
08/05/2016	07:35:25	-0.0265888101681035
08/05/2016	07:50:25	-0.0269109411955132
08/05/2016	08:05:25	-0.0272248654950419
08/05/2016	08:20:25	-0.0271168970247823
08/05/2016	08:35:25	-0.0266026741209384
08/05/2016	08:50:25	-0.0265349818080599
08/05/2016	09:05:25	-0.0268268247799596
08/05/2016	09:20:25	-0.0267324011269795
08/05/2016	09:35:25	-0.0263411988195511
08/05/2016	09:50:25	-0.0259812281490873
08/05/2016	10:05:25	-0.0259789853167449
08/05/2016	10:20:25	-0.0260032821588701
08/05/2016	10:35:25	-0.0257246897866171
