;Date	Time	Flow(CMS)
08/04/2016	17:42:05	-0.0178691002533138
08/04/2016	17:57:05	-0.0165299398343201
08/04/2016	18:12:05	-0.0142816640577456
08/04/2016	18:27:05	-0.011592621237302
08/04/2016	18:42:05	-0.0097134171548116
08/04/2016	18:57:05	-0.0080755014810052
08/04/2016	19:12:05	-0.007692619237742
08/04/2016	19:27:05	-0.010050521897349
08/04/2016	19:42:05	-0.0143999859654262
08/04/2016	19:57:05	-0.0202330697447801
08/04/2016	20:12:05	-0.0264999693740107
08/04/2016	20:27:05	-0.0327059360254454
08/04/2016	20:42:05	-0.0387588953653373
08/04/2016	20:57:05	-0.0433209598143205
08/04/2016	21:12:05	-0.0469810416304834
08/04/2016	21:27:05	-0.0493135679102932
08/04/2016	21:42:05	-0.0505182344084889
08/04/2016	21:57:05	-0.051338313355834
08/04/2016	22:12:05	-0.0508122960790616
08/04/2016	22:27:05	-0.0508133221769212
08/04/2016	22:42:05	-0.0503008588395399
08/04/2016	22:57:05	-0.0482112588980939
08/04/2016	23:12:05	-0.0463733268035508
08/04/2016	23:27:05	-0.0454511413608659
08/04/2016	23:42:05	-0.0443354077559531
08/04/2016	23:57:05	-0.0424864339468729
08/05/2016	00:12:05	-0.0411029117282587
08/05/2016	00:27:05	-0.0396424102086218
08/05/2016	00:42:05	-0.0381245305123073
08/05/2016	00:57:05	-0.0365751260599164
08/05/2016	01:12:05	-0.0355732453296481
08/05/2016	01:27:05	-0.0345696048190454
08/05/2016	01:42:05	-0.0330007061526496
08/05/2016	01:57:05	-0.0320038208725513
08/05/2016	02:12:05	-0.0310244378133871
08/05/2016	02:27:05	-0.0300714521519262
08/05/2016	02:42:05	-0.0291547866217889
08/05/2016	02:57:05	-0.0288221257928386
08/05/2016	03:12:05	-0.0285419155777004
08/05/2016	03:27:05	-0.0277776149268622
08/05/2016	03:42:05	-0.0265400161053226
08/05/2016	03:57:05	-0.0253504647040422
08/05/2016	04:12:05	-0.0247324591219355
08/05/2016	04:27:05	-0.0246779928938743
08/05/2016	04:42:05	-0.0246730940382399
08/05/2016	04:57:05	-0.0242039342833724
08/05/2016	05:12:05	-0.0237836058632247
08/05/2016	05:27:05	-0.0238988225405881
