;Date	Time	Flow(CMS)
08/04/2016	19:55:26	6.53891974668622e-05
08/04/2016	20:10:26	7.87808016567993e-05
08/04/2016	20:25:26	0.000101263559422544
08/04/2016	20:40:26	0.00012815398762698
08/04/2016	20:55:26	0.000146946028451884
08/04/2016	21:10:26	0.000163325185189948
08/04/2016	21:25:26	0.00016715400762258
08/04/2016	21:40:26	0.00014357498102651
08/04/2016	21:55:26	0.000100080340345738
08/04/2016	22:10:26	4.17495025521993e-05
08/04/2016	22:25:26	-2.09194937401069e-05
08/04/2016	22:40:26	-8.29791602544539e-05
08/04/2016	22:55:26	-0.000143508753653373
08/04/2016	23:10:26	-0.000189129398143205
08/04/2016	23:25:26	-0.000225730216304834
08/04/2016	23:40:26	-0.000249055479102932
08/04/2016	23:55:26	-0.000261102144084889
08/05/2016	00:10:26	-0.00026930293355834
08/05/2016	00:25:26	-0.000264042760790616
08/05/2016	00:40:26	-0.000264053021769212
08/05/2016	00:55:26	-0.000258928388395399
08/05/2016	01:10:26	-0.000238032388980939
08/05/2016	01:25:26	-0.000219653068035508
08/05/2016	01:40:26	-0.000210431213608659
08/05/2016	01:55:26	-0.000199273877559531
08/05/2016	02:10:26	-0.000180784139468729
08/05/2016	02:25:26	-0.000166948917282587
08/05/2016	02:40:26	-0.000152343902086218
08/05/2016	02:55:26	-0.000137165105123073
08/05/2016	03:10:26	-0.000121671060599164
08/05/2016	03:25:26	-0.000111652253296481
08/05/2016	03:40:26	-0.000101615848190454
08/05/2016	03:55:26	-8.59268615264962e-05
08/05/2016	04:10:26	-7.59580087255132e-05
08/05/2016	04:25:26	-6.61641781338714e-05
08/05/2016	04:40:26	-5.66343215192617e-05
08/05/2016	04:55:26	-4.74676662178887e-05
08/05/2016	05:10:26	-4.41410579283861e-05
08/05/2016	05:25:26	-4.1338955777004e-05
08/05/2016	05:40:26	-3.36959492686218e-05
08/05/2016	05:55:26	-2.13199610532263e-05
08/05/2016	06:10:26	-9.4244470404215e-06
08/05/2016	06:25:26	-3.2443912193549e-06
08/05/2016	06:40:26	-2.6997289387431e-06
